_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
793,173778902,18042336,29,2018-03-06T01:12:00,"200 Block Ridge Ave Pittsburgh, PA 15212",N,Allegheny Center,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2204,,,-80.0087388960023,40.4520422126639
794,173791303,18042421,99,2018-03-06T06:59:00,"2700 Block Zephyr Ave Pittsburgh, PA 15204",N,Sheraden,6,AIDED CASE,9497 Aided Case,2018,,,-80.0493430223843,40.4530680300925
795,173829711,18042623,6,2018-03-06T12:42:00,"50 Block 33rd St Pittsburgh, PA 15201",Y,Strip District,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property.,203,,,-79.9722891321528,40.4639410717648
796,173847196,18042784,0,2018-03-02T19:30:00,"600 Block liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Customer payed too much for his comcast and duquesne light bills,201,,,-80.0016204506435,40.4417729848127
797,173889539,18043125,99,2018-03-07T06:06:00,"7600 Block Mulford St Pittsburgh, PA 15221",N,Homewood South,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1304,,,-79.8912366241123,40.45244967894
1150,172918169,18032744,5,2018-02-19T08:00:00,"1800 Block Perrysville Ave Pittsburgh, PA 15212",N,Perry South,1,BURGLARY,3502 Burglary.,2614,,,-80.0127264758964,40.4602689925024
798,173624469,18039851,6,2018-03-01T12:48:00,"1800 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,305,,,-79.9828927446216,40.4419194419656
799,173624836,18039844,6,2018-03-02T07:19:00,"1600 Block Duffield St Pittsburgh, PA 15206",N,Morningside,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1014,,,-79.9304503448861,40.4828785980052
800,173630309,18039902,5,2018-03-02T09:25:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Fineview,1,BURGLARY,3502 Burglary. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 3503 Criminal Trespass / 9501 Bench Warrant,2509,,,-80.00698007108,40.4603025785269
801,173635513,18039986,5,2018-03-02T11:30:00,"Banksville Ave Pittsburgh, PA 15216",N,Banksville,6,BURGLARY,3502 Burglary.,2023,,,0.0,0.0
802,173642800,18040104,6,2018-03-02T00:01:00,"900 Block Highview St Pittsburgh, PA 15206",N,Morningside,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1014,,,-79.9290639232411,40.4745964458596
803,173642924,18040105,99,2018-03-02T14:00:00,"5200 Block Centre Ave Pittsburgh, PA 15224",N,Shadyside,4,LOST PROPERTY,9504 Lost Property,709,,,-79.9405852963385,40.4549401752088
804,173647121,18040169,14,2018-02-14T16:05:00,"Alpena St & Andover Ter Pittsburgh, PA 15213",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506,,,-79.9544845042727,40.45337040597
805,173647535,18040190,27,2018-03-02T16:25:00,"Fort Pitt Tunl & Fort Pitt Brg Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1903,,,-80.0092094414357,40.4400415860114
806,173648310,18040201,6,2018-03-01T21:00:00,"2100 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,501,,,-79.9789234006673,40.4443951780009
807,173650616,18040228,11,2018-03-02T12:15:00,"5400 Block Aylesboro Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,IDENTITY THEFT,4120 Identity Theft,1401,,,-79.9334456221708,40.4382610424638
808,173653537,18040329,29,2018-03-02T06:00:00,"200 Block Ridge Ave Pittsburgh, PA 15212",N,Allegheny Center,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2204,,,-80.0087388960023,40.4520422126639
809,173915305,18043366,10,2018-03-07T00:01:00,"8800 Block Bricelyn St Pittsburgh, PA 15221",N,East Hills,5,HARRASSMENT,2709 Harassment (Non-Specific),1306,,,-79.872438192179,40.4600041799735
810,173921401,18043231,10,2018-03-07T09:00:00,"Rosselle Ct & Johnston Ave Pittsburgh, PA 15207",N,Glen Hazel,4,HARRASSMENT,2709(a) Harassment.,1504,,,-79.9326601307658,40.4062040096484
811,173923866,18043441,27,2018-03-07T15:30:00,"20 Block General Robinson St E Pittsburgh, PA 15212",N,North Shore,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2205,,,-80.0036650095893,40.4484849941709
812,173935414,18043461,18,2018-03-07T18:08:00,"Chartiers Ave & Jeffers St Pittsburgh, PA 15204",Y,Sheraden,6,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 1301 Registration and Certificate of Title Required.,2022,,,-80.065065064905,40.4538835735778
813,173944210,18043600,27,2018-03-07T22:17:00,"Massachusetts Ave & Orchlee St Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2701,,,-80.0406648301726,40.4811917515451
814,173944923,18043607,18,2018-03-07T20:00:00,"400 Block North Shore Dr Pittsburgh, PA 15222",Y,North Shore,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 6301 Corruption of Minors. / 13(a)(30)* Delivery of Controlled Substance,2205,,,-80.0123365767722,40.4462630510384
815,173556603,18039175,99,2018-03-01T08:17:00,"100 Block S 16th St Pittsburgh, PA 15203",Y,South Side Flats,3,AIDED CASE,9497 Aided Case / 9498 302 (Mental),1702,,,-79.9831059586849,40.4284385679567
816,173559178,18038648,10,2018-02-28T13:40:00,"6000 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115,,,-79.9245774767813,40.4610773237569
817,173578895,18038938,6,2018-02-28T21:00:00,"900 Block Freeport  Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1201,,,-79.8943172243871,40.4880818149065
818,173602624,18038954,99,2018-02-28T22:21:00,"7000 Block Fletcher Way Pittsburgh, PA 15208",N,Homewood North,5,AIDED CASE,9497 Aided Case,1301,,,-79.9001487032431,40.4607490628283
819,173602846,18039506,99,2018-03-01T18:53:00,"100 Block Eymard St Pittsburgh, PA 15221",N,East Hills,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1306,,,-79.8724168952213,40.4598788365566
820,173611515,18028969,10,2018-02-14T18:50:00,"5500 Block Hays St Pittsburgh, PA 15206",Y,East Liberty,5,SIMPLE ASSAULT,2701 Simple Assault.,1113,,,-79.9295947800242,40.470440803835
821,173611931,18039730,21,2018-03-02T02:08:00,"4600 Block Forbes Ave Pittsburgh, PA 15213",Y,Squirrel Hill North,4,DUI - GENERAL IMPAIRMENT,"3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 3802(a)(1) DUI - General Impairment",1401,,,-79.9485887988453,40.444391613256
822,173619925,18039813,14,2018-03-02T05:26:00,"100 Block Southern Ave Pittsburgh, PA 15211",Y,Mount Washington,3,CRIM MISCHIEF,3304 Criminal Mischief. / 901 Criminal Attempt / 907 Possessing Instruments of Crime.,1914,,,-80.009163098121,40.4270409482231
823,173625021,18039885,99,2018-03-02T09:30:00,"2300 Block Silver Oak Dr Pittsburgh, PA 15220",N,Banksville,6,AIDED CASE,9497 Aided Case,2023,,,-80.0454283245467,40.404492964165
824,173630794,18039960,10,2018-03-02T11:01:00,"200 Block Rochelle St Pittsburgh, PA 15210",N,Knoxville,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",3001,,,-79.9906227901737,40.4150508194823
825,173630944,18031687,6,2018-02-18T07:00:00,"100 Block Lytton Ave Pittsburgh, PA 15213",Y,North Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,403,,,-79.9546297985351,40.4460926494872
826,172594283,18028638,6,2018-02-14T10:06:00,"5400 Block Black St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1113,,,-79.9327928085929,40.4704279727023
827,172996986,18032868,0,2018-02-20T14:45:00,"400 Block Frankfort Rd Monaca, PA 15061",N,Outside City,OSC,99,9999 9999 - (Misc. Incident): Bomb Squad (Region 13) Call Out,5599,,,-80.3484582604095,40.6569188558887
828,173820237,18038663,20,2018-02-17T18:38:00,"2300 Block Los Angeles  Ave Pittsburgh, PA 15234",N,Beechview,3,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,1920,,,-80.0290752731578,40.4026097045236
829,173848224,18042756,10,2018-03-06T17:50:00,"100 Block Hazlett St Pittsburgh, PA 15214",Y,Northview Heights,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 4304(a)(1) Enhanced Endangering Welfare of Children - Course of Conduct",2609,,,-80.0030769727258,40.4759708034383
830,173857152,18042847,5,2018-03-06T19:14:00,"300 Block Semple St Pittsburgh, PA 15213",Y,Central Oakland,4,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,405,,,-79.9570936272574,40.438737565192
831,173857366,18042820,99,2018-03-06T18:26:00,"400 Block Oneida St Pittsburgh, PA 15211",N,Duquesne Heights,3,MENTAL 201/302,9498 302 (Mental),1911,,,-80.0208783029449,40.4327020029994
832,173865267,18042910,27,2018-03-06T20:47:00,"300 Block S Aiken Ave Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,806,,,-79.9379235442122,40.461777737482
834,173871341,18042969,99,2018-03-06T22:30:00,"800 Block Wymore St Pittsburgh, PA 15220",N,Elliott,6,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2020,,,-80.0421758424428,40.4407757642929
835,173874919,18043025,0,2018-03-06T17:35:00,"800 Block Wymore St Pittsburgh, PA 15220",N,Elliott,6,99,9093 Indirect Criminal Contempt,2020,,,-80.0421758424428,40.4407757642929
836,-2770017520,18028628,0,2018-02-14T09:05:00,"3100 Block Smallman St Pittsburgh, PA 15201",N,Strip District,2,99,3742 Accidents Involving Death or Personal Injury,203,,,-79.9721044017686,40.4604735697334
837,-3190001188,18037059,99,2018-02-26T10:00:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),509,,,-79.9780977507415,40.4481215499966
838,172644277,18028745,0,2018-02-14T12:00:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,99,9999 9999 - (Misc. Incident): Possible Scam,1702,,,-79.9818690076802,40.4285852039836
839,172693323,18029603,18,2018-02-15T17:10:00,"1800 Block Bedford Ave Pittsburgh, PA 15219",Y,Crawford-Roberts,2,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,305,,,-79.9854011113759,40.4451782089833
840,172694037,18029586,0,2018-02-15T15:40:00,"1200 Block Mohler St Pittsburgh, PA 15221",N,Homewood North,5,99,3503(a) Criminal Trespass,1301,,,-79.8868862994118,40.4598112069064
841,172697154,18029032,11,2018-02-14T20:49:00,"300 Block S Negley Ave Pittsburgh, PA 15232",N,East Liberty,5,THEFT BY DECEPTION,3922 Theft by Deception. / 901 Criminal Attempt,1115,,,-79.9327666527563,40.4606234021618
842,172701183,18029647,6,2018-02-14T17:10:00,"6900 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood West,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1207,,,-79.904251416277,40.4580393628522
843,172710843,18029752,0,2018-02-15T20:53:00,"1900 Block Fairlawn St Pittsburgh, PA 15221",N,East Hills,5,99,9999 9999 - (Misc. Incident): FEMALE UNCOOPERATIVE POSSIBLE DOMESTIC,1306,,,-79.8701530004784,40.4489841855439
844,172727069,18030010,13,2018-02-16T06:08:00,"2600 Block Stella St Pittsburgh, PA 15203",Y,Central Business District,3,RECEIVING STOLEN PROPERTY,"3925 Receiving Stolen Property. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1608,,,-79.9701979794977,40.4230434024063
845,172728594,18029702,0,2018-02-15T20:00:00,"2000 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,99,9999 9999 - (Misc. Incident): ,2901,,,-79.9868644204953,40.3949579854237
846,173987566,18043818,10,2018-02-23T17:45:00,"200 Block S Winebiddle St Pittsburgh, PA 15224",N,Bloomfield,5,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children.,809,,,-79.9432488411646,40.4645231516957
847,173998786,18043907,0,2018-03-07T07:00:00,"1700 Block Saw Mill Run Blvd Pittsburgh, PA 15210",Y,Carrick,3,99,"601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",2901,,,-79.998465431863,40.3960468755476
848,174000307,18043899,17,2018-03-08T12:10:00,Zone 3,N,,3,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
849,174004728,18033053,6,2018-02-20T14:24:00,"600 Block First Ave Pittsburgh, PA 15219",Y,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,,,-79.9963009852286,40.4346965877756
850,174071130,18044504,17,2018-03-05T07:00:00,Zone 4,N,,4,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
851,174078272,18044701,99,2018-03-09T17:46:00,"1400 Block Isoline St Pittsburgh, PA 15204",N,Chartiers City,6,AIDED CASE,9497 Aided Case,2021,,,-80.0703597067707,40.4562583494442
852,174079006,18044706,6,2018-03-09T16:30:00,"100 Block Washington Pl Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,,,-79.9919558795305,40.4409633915477
853,172659194,18029400,18,2018-02-15T11:05:00,"Bennett St & Oakwood St Pittsburgh, PA 15221",Y,Homewood South,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3334 Turning Movements and Required Signals.,1304,,,-79.8856489489614,40.4540264505494
854,173560138,18039214,0,2018-03-01T09:41:00,"2700 Block Veteran St Pittsburgh, PA 15214",N,Perry South,1,99,9997 Overdose Death,2615,,,-80.0091146686236,40.4726741908282
855,172820736,18031519,6,2018-02-17T19:30:00,"4000 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,THEFT FROM AUTO,3934 Theft from Vehicle,903,,,-79.9572500549648,40.4627663709325
856,-3093000091,18031579,6,2018-02-18T13:00:00,"80 Block Swinburne St Pittsburgh, PA 15213",N,North Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,403,,,-79.9504879057436,40.428755981773
857,172824398,18031515,14,2018-02-18T10:49:00,"1100 Block Hodgkiss St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,CRIM MISCHIEF,3304 Criminal Mischief. / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance,2704,,,-80.0252088508736,40.4678497869745
858,172825303,18031638,6,2018-02-18T11:00:00,"Greenfield Rd & Overlook Dr Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1413,,,-79.9374999276454,40.4327361946345
859,172834408,18031822,18,2018-02-18T20:38:00,"Beaver Ave & Columbus Ave Pittsburgh, PA 15233",Y,Chateau,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1301 Registration and Certificate of Title Required.,2108,,,-80.0302766320662,40.457213954842
860,172835427,18031845,0,2018-02-18T22:01:00,"1200 Block Amanda St Pittsburgh, PA 15210",Y,Carrick,3,99,9998 Overdose Other,2902,,,-79.9893821498265,40.4041800172917
861,174076516,18044633,10,2018-03-09T15:55:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats.,201,,,-79.9979365205526,40.4428881131908
862,174076724,18044665,10,2018-03-09T17:00:00,"500 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,,,-80.0041126549526,40.4422730865488
863,174081173,18044723,10,2018-03-09T18:10:00,"100 Block Rhine Pl Pittsburgh, PA 15212",Y,Spring Hill-City View,1,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2620,,,-79.9940985889521,40.466786195587
864,174090252,18044975,21,2018-03-10T02:14:00,"California Ave & Dickson St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 4702 Requirement for Periodic Inspection of Vehicles / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 3802(a)(1) DUI - General Impairment,2715,,,-80.0355341259913,40.4687005834043
865,174101902,18045331,0,2018-03-10T16:52:00,"2700 Block Leland St Pittsburgh, PA 15214",Y,Perry South,1,99,9093 Indirect Criminal Contempt,2615,,,-80.0126209659005,40.4725960156365
866,174105028,18044768,0,2018-03-09T19:34:00,"300 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): ,507,,,-79.9493872433643,40.4455906511163
867,173650706,18040243,27,2018-03-02T18:40:00,"Washington Blvd & Allegheny River Blvd Pittsburgh, PA 15206",N,Highland Park,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1106,,,-79.907846334288,40.4842690005715
868,173652931,18040226,23,2018-03-02T18:17:00,"50 Block 11th St Pittsburgh, PA 15219",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct. / 3503(b)(1)(i) Actual Communication,201,,,-79.9876722276364,40.428959529577
869,173655040,18040257,10,2018-03-02T19:18:00,"1100 Block Admiral St Pittsburgh, PA 15212",Y,Spring Hill-City View,1,SIMPLE ASSAULT,2701 Simple Assault. / 2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2620,,,-79.9895253750199,40.4644693955118
870,173655274,18040271,4,2018-03-02T19:00:00,"5th Ave & Market St Pittsburgh, PA 15222",Y,Central Business District,2,AGG-ASSAULT,2702 Aggravated Assault. / 4912 Impersonating a Public Servant. / 3802(a)(1) DUI - General Impairment / 3714 Careless Driving,201,,,-80.002108774882,40.4413828947589
871,173661819,18040528,4,2018-03-03T02:34:00,"1900 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,AGG-ASSAULT,"2702 Aggravated Assault. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION",1702,,,-79.9789649915031,40.4284658082227
872,173658117,18040405,29,2018-03-02T20:00:00,"5400 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,RUNAWAYS - JUVENILE,029 Missing Juvenile,1515,,,-79.9419511785043,40.4025784310578
873,173675088,18040740,27,2018-03-03T12:52:00,"Harvard Sq & N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115,,,-79.9240788226019,40.4630720630303
874,173678007,18034619,18,2018-02-22T15:20:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Bluff,OSC,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(33) Paraphernalia - Delivery or Intent to Deliver / 903 Criminal Conspiracy.,7799,,,-79.9930776867537,40.4350955036066
875,173678557,18040684,99,2018-03-03T10:31:00,"100 Block Knox Ave Pittsburgh, PA 15210",N,Knoxville,3,ACCIDENTAL FIRE,9018 Accidental Fire,3001,,,-79.9906449434436,40.4155529443986
876,173116201,18034287,4,2018-02-22T09:33:00,"1300 Block Carnahan Rd Pittsburgh, PA 15220",Y,Banksville,6,AGG-ASSAULT,2702 Aggravated Assault. / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person.,2023,,,-80.0410999814313,40.411567654743
877,173395083,18037841,6,2018-02-27T12:14:00,"100 Block Forbes Ave Pittsburgh, PA 15222",Y,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 2706 Terroristic Threats. / 5505 Public Drunkenness / 5503 Disorderly Conduct.,201,,,-80.0039460682503,40.4406971199481
878,172567956,18028513,99,2018-02-14T02:12:00,"5100 Block Cypress St Pittsburgh, PA 15224",N,Bloomfield,5,AIDED CASE,9497 Aided Case,804,,,-79.9438553444348,40.4569297876762
879,172614510,18028899,27,2018-02-14T06:00:00,"Interboro Ave & Leaside Dr Pittsburgh, PA 15207",N,Lincoln Place,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3102,,,-79.9124149584314,40.3718952089027
880,172617706,18028850,17,2018-02-14T15:18:00,Zone 5,N,,5,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
881,172626064,18029021,27,2018-02-14T20:15:00,"Pioneer Ave & West Liberty Ave Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1917,,,-80.0101199059339,40.4129121285125
882,172633947,18029076,0,2018-02-14T22:15:00,"1100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,901 Criminal Attempt,2902,,,-79.990899233621,40.4049393618559
883,173885959,18043164,14,2018-03-07T08:00:00,"100 Block Stratford Ave Pittsburgh, PA 15206",N,Friendship,5,CRIM MISCHIEF,3304 Criminal Mischief.,807,,,-79.9316660896347,40.4638202939274
884,173886113,18043167,14,2018-03-06T17:00:00,"7000 Block Idlewild St Pittsburgh, PA 15208",N,Homewood North,5,CRIM MISCHIEF,3304 Criminal Mischief.,1301,,,-79.9006980146231,40.4593460825781
885,173886710,18043160,11,2018-02-25T14:53:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,CREDIT CARDS,4106 Access Device Fraud,1115,,,-79.9221716434151,40.46515780416
886,173889474,18043193,27,2018-03-07T02:50:00,"100 Block Merrimac St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1903,,,-80.0130163797167,40.4353119144724
887,173890427,18043200,6,2018-03-07T10:00:00,"200 Block Parkman Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,403,,,-79.9563367275426,40.4457488802161
888,173897598,18043258,26,2018-03-07T11:14:00,"Allegheny Ctr Pittsburgh, PA 15212",N,Allegheny Center,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2204,,,-80.0180147392204,40.4489542492981
889,173898828,18043270,6,2018-03-07T10:00:00,"200 Block Mc Kean St Pittsburgh, PA 15219",N,South Side Flats,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1702,,,-79.9982722990921,40.4302223410889
890,173947346,18043616,18,2018-03-07T22:45:00,"400 Block North Shore Dr Pittsburgh, PA 15212",Y,Bluff,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,103,,,-80.0123365767722,40.4462630510384
903,174094885,18045211,6,2018-03-10T12:00:00,"200 Block Parkfield St Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,2901,,,-79.9904109316451,40.3919923060245
891,173972352,18043770,18,2018-03-08T07:00:00,"3000 Block Pioneer Ave Pittsburgh, PA 15226",Y,Brookline,6,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(33) Paraphernalia - Delivery or Intent to Deliver / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use,1918,,,-80.0285275568566,40.3945960013899
892,172732385,18030111,10,2018-02-16T08:00:00,"200 Block N Bellefield Ave Pittsburgh, PA 15213",Y,North Oakland,4,HARRASSMENT,2709(a) Harassment.,403,,,-79.9525525455466,40.448760858925
893,172734041,18030163,0,2018-02-16T06:08:00,"3000 Block Custer Ave Pittsburgh, PA 15527",Y,Outside City,OSC,99,9090 Recovered Firearm,5599,,,-79.9739022087409,40.3933785530578
894,172734119,18030148,27,2018-02-15T16:45:00,"Forbes Ave & Armstrong Tunl Pittsburgh, PA 15219",Y,Bluff,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,103,,,-79.9920519675474,40.4379710424587
895,172736205,18030185,99,2018-02-15T22:00:00,"44th St & Post St Pittsburgh, PA 15201",N,Central Lawrenceville,2,FOUND PROPERTY,9489 Found Property,902,,,-79.9544410151896,40.4675741042148
896,-2914013635,18029399,0,2018-02-15T11:17:00,"1100 Block Island St McKees Rocks, PA 15136",Y,Outside City,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),5599,,,-80.065024567926,40.4755720188154
897,172744096,18030213,5,2018-02-16T12:46:00,"2500 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,BURGLARY,3502 Burglary.,1306,,,-79.8732238674258,40.4561060211458
898,172763002,18030407,14,2018-02-16T17:50:00,"20 Block Curtin Ave Pittsburgh, PA 15210",N,Beltzhoover,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,1809,,,-79.9987060879101,40.4202843786426
899,172769085,18030314,11,2018-02-16T15:29:00,"4500 Block Stanton Ave Pittsburgh, PA 15201",N,Stanton Heights,5,IDENTITY THEFT,4120 Identity Theft,1018,,,-79.9393109353126,40.4813816468896
900,172772716,18030659,14,2018-02-17T01:15:00,"46th St & Eden Way Pittsburgh, PA 15201",N,Central Lawrenceville,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,901,,,-79.9591819361205,40.4730789417017
901,174087846,18044871,6,2018-03-09T23:10:00,"2800 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,2022,,,-80.0543924580169,40.4525407515713
