id,title,authors,ISBN13,pages,publisher,publishedYear,publishedMonth,publishedDay
425,My First In Java,Jeremias Esperanza,,227,Lulu.com,2014,4,23
426,C for Java Programmers,Tomasz Muldner,9780201702798,500,Pearson,2000,3,16
427,Java & XML for Dummies,Barry Burd,9780764516580,408,John Wiley & Sons,2002,7,5
428,Enterprise Java with UML [With CDROM],"C.T. Arrington,Susan Cardinale,Hugo Scavino",9780471386803,451,John Wiley & Sons,2001,1,26
429,Java Concepts: Early Objects,Cay S. Horstmann,9781118431122,704,John Wiley & Sons,2012,12,26
430,Java Application Architecture: Modularity Patterns with Examples Using OSGi,Kirk Knoernschild,9780321247131,384,Prentice Hall,2012,3,25
431,Data Structures in Java: From Abstract Data Types to the Java Collections Framework,Simon Gray,9780321392794,658,Addison Wesley Publishing Company,2006,10,1
432,"Java Servlets [With Contains Java Servlet API, Source Code, JDK 1.2...]",Karl Moss,9780079137791,512,McGraw-Hill Companies,1998,7,6
433,Client/Server Programming with Java and CORBA [With Includes Over 15 Java-Based Client-Server...],"Robert Orfali,Dan Harkey",9780471163510,655,John Wiley & Sons,1997,1,1
434,A Programmer's Guide to Java Se 8 Oracle Certified Associate (OCA),"Khalid Mughal,Rolf Rasmussen",9780132930215,688,Addison-Wesley Professional,2016,7,4
435,Java pocket,Luigi Comi,9788850323418,240,Apogeo,2005,1,1
436,The Java(tm) Tutorial: A Short Course on the Basics [With Contains All Major Versions of the Java Platform.],"Mary Campione,Kathy Walrath,Alison Huml",9780201703931,592,Addison-Wesley Professional,2001,1,7
437,Understanding Java,Barry Cornelius,9780201711073,680,Addison Wesley Longman,2001,4,11
438,Java/J2ee,Shivprasad Koirala,9788183331739,,,,,
439,Core Java 1.2 : Volume 1 Fundamentals,"Cay S. Horstmann,Gary Cornell",9780130819338,737,Prentice Hall Ptr,1999,1,15
440,Maximum Lego NXT: Building Robots with Java Brains,Brian  Bagnall,9780973864915,524,Variant Press,2007,4,30
441,Iron-Clad Java: Building Secure Web Applications,"Jim Manico,August Detlefsen",9780071835886,304,McGraw-Hill Education,2014,9,9
442,Pro Java Script With Moo Tools,Mark Obcena,9781430230540,406,Apress,2010,12,22
443,The Java Tutorial: A Short Course on the Basics,"Sharon Zakhour,Sowmya Kannan,Raymond Gallardo",9780132761697,713,Addison-Wesley Professional,2013,2,27
444,Java and Jmx: Building Manageable Systems,"Heather Kreger,Leigh Williamson",9780672324086,592,Addison-Wesley Professional,2003,1,9
445,The Java Virtual Machine Specification (Java),"Frank Yellin,Gilad Bracha",9780321246882,,,,,
446,Beginning Java 2,Ivor Horton,9781861002235,1136,Wrox Press,1999,2,7
447,Java,BarCharts Inc.,9781572222113,6,Barcharts,1998,4,1
448,Java™,"Enrique Castillo,Ángel Cobo",9788428323680,0,Paraninfo,1997,12,28
449,Java Programming with CORBA,Andreas Vogel,9780471247654,528,Wiley,1998,3,13
450,LDAP Programming with Java,Rob Weltman,9780201657586,692,Addison-Wesley Professional,2000,2,4
451,Core Java Foundation Classes,"Kim Topley,Gary Cornell,Cay S. Horstmann",9780130803016,1300,Prentice Hall,1998,7,1
452,Von Braun Van Java,Aris Wahyudi,,269,Banyu Books,2011,7,27
453,Java: Just in Time,John Latham,9781848900257,660,College Publications,2010,12,17
454,Learning Wireless Java,Qusay Mahmoud,9780596002435,266,O'Reilly Media,2002,1,8
455,Java/J2EE Job Interview Companion,K. Arulkumaran,,357,,2007,,
456,"Data Crunching: Solve Everyday Problems Using Java, Python, and more.",Greg    Wilson,9780974514079,176,Pragmatic Bookshelf,2005,4,8
457,Complete Java?2 Certification Study Guide,"Phillip Heller,Simon Roberts",9780782144192,560,Sybex,2005,4,1
458,JAVA: A Beginner to Expert Guide to Learning the Basics of Java Programming (Computer Science Series),James       Patterson,,162,,2016,2,18
459,"Java and the Java Virtual Machine: Definition, Verification, Validation","Robert F. Stark,J. Schmid,R. Stark",9783540420880,381,Springer,2001,6,20
460,"Java: A Beginner's Tutorial, Updated for Java SE 8",Budi Kurniawan,9780992133047,720,BrainySoftware,2015,1,1
461,Martin Mystère n. 113: Java contro Java,"Alfredo Castelli,Gaetano Cassaro,Giancarlo Alessandrini,Luigi Mignacco,Nando Esposito,Denisio Esposito,Gaspare Cassaro",,96,Sergio Bonelli Editore,1991,8,1
462,"Ivor Horton's Beginning Java 2, JDK",Ivor Horton,9780764568749,1512,Wrox Press,2005,1,1
463,Programming Language Processors in Java: Compilers and Interpreters,"David Watt,Deryck F. Brown",9780130257864,436,Pearson,2000,2,14
464,Programming Lego Mindstorms with Java [With CDROM],"Guilio Ferrari,Giulio Ferrari",9781928994558,608,Syngress Publishing,2002,6,8
465,An Introduction to Java Programming and Object-Oriented Application Development,Richard A.  Johnson,9780619217464,784,Cengage Learning,2006,2,23
466,"Regular Expression Pocket Reference: Regular Expressions for Perl, Ruby, PHP, Python, C, Java and .NET",Tony Stubblebine,9780596514273,128,O'Reilly Media,2007,7,25
467,Java 2 Performance and Idiom Guide,Craig Larman,9780130142603,299,Prentice Hall PTR,1999,9,16
468,"Program Development in Java: Abstraction, Specification, and Object-Oriented Design","Barbara Liskov,John Guttag",9780201657685,464,Addison-Wesley Professional,2000,6,16
469,Data Structures and the Java Collections Framework,William J.  Collins,9780470482674,736,John Wiley & Sons,2011,1,11
470,Digital Image Processing: An Algorithmic Introduction Using Java,"Wilhelm Burger,Mark J. Burge",9781846283796,564,Springer,2012,1,19
471,The Invisible Palace: The True Story of a Journalist's Murder in Java,José Manuel Tesoro,9789799796479,328,Equinox Publishing,2005,3,15
472,Object-Oriented Data Structures Using Java,Nell Dale,9781449613549,799,Jones & Bartlett Publishers,2011,2,25
473,Sams Teach Yourself Java 2 in 21 Days,"Laura Lemay,Rogers Cadenhead",9780672319587,650,Sams,2000,9,27
474,Beginning Java EE 6 Platform with GlassFish 3: From Novice to Professional,Antonio Goncalves,9781430219545,478,Apress,2009,5,1
475,Instant Web Scraping with Java,Ryan Mitchell,9781299832688,72,Packt Publishing,2014,6,13
476,Component Development For The Java Platform,Stuart Halloway,9780201753066,334,Addison-Wesley Professional,2001,12,24
477,Data Structures in Java,Noel Kalicharan,9781438275178,246,Createspace,2008,8,22
478,Programming and Problem Solving with Java,James M. Slack,9780534374860,848,Course Technology,1999,12,17
479,Java & XML Data Binding,Brett McLaughlin,9780596002787,218,O'Reilly Media,2002,6,4
480,Ground-Up Java,"Phillip Heller,Philip Heller",9780782141900,488,Sybex,2003,12,2
481,Jasperreports: Reporting for Java Developers,David Heffelfinger,9781904811909,344,Packt Publishing,2006,7,20
482,Doing Java: An Anthropological Detective Story,Niels Mulder,9789792111491,239,Kanisius,2006,12,31
483,Object Oriented Software Development Using Java,Xiaoping Jia,9780201737332,696,Pearson,2002,11,11
484,Въведение в програмирането с Java,"Светлин Наков,Борис Вълков,Лъчезар Цеков,Цвятко Конов,Марин Георгиев,Марио Пешев,Николай Василев,Мариян Ненчев,Николай Недялков,Михаил Стойнов,Петър Велев,Радослав Иванов,Румяна Топалска,Веселин Колев,Стефан Стаев,Владимир Цанев (Tsachev),Данаил Алексиев,Теодор Стоев,Лъчезар Божков,Христо Тодоров",,932,"Фабер, Велико Търново, 2009 г",2005,6,8
485,Classic Data Structures in Java,Timothy Budd,9780201700022,593,Addison-Wesley Professional,2000,10,19
486,Core Java Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,,,,,,
487,De tolk van Java,Alfred Birney,,544,De Geus,2016,3,1
488,JAVA Programming Volume 3,วีระศักดิ์ ซึงถาวร,,,,,,
489,Java Script Annotated Archives,Jeff Frentzen,9780078823640,,,,,
490,"Bali, Java, in My Dreams",Christine Jordis,9781860469954,192,Random House UK,2003,11,1
491,Java for Engineers and Scientists,Stephen J. Chapman,9780130335203,704,Pearson,2003,10,19
492,Java: A Beginner's Tutorial,Budi Kurniawan,9780980839609,0,Brainy Software,2010,8,5
493,History of Java: Melacak Asal-usul Tanah Jawa,Purwadi,,211,Mitra Abadi,2008,3,
494,Core Java Professional,"Harry Hariom Choudhary,Chris James Warth",9781492290001,546,Createspace,2013,8,30
495,Programming: Introduction to Programming Using Java,David J. Eck,9781441419767,683,Createspace,2009,3,25
496,Java Design Pattern Essentials - Second Edition,Tony Bevis,9780956575845,264,Ability First Limited,2012,10,11
497,Java Programming Language Handbook: The Ultimate Source for Conquering the Java Programming Language,"Anthony Potts,David H. Friedel Jr.",9781883577773,432,Coriolis Group Books,1996,4,17
498,Java Enterprise Design Patterns: Patterns in Java Volume 3 (With CD-ROM),Mark Grand,9780471333159,416,Wiley,2001,2,15
499,"Platinum Edition Using HTML 4, XML, and Java 1.2","Eric Ladd,Jim O'Donnell",9780789717597,1400,Que,1998,12,1
500,Java Ee 6 Development with Netbeans 7,David R. Heffelfinger,9781849512701,374,Packt Publishing,2011,6,23
501,"Graph Algorithms (Algorithms in Java, Part 5)","Robert Sedgewick,Michael Schidlowsky",785342361216,528,Addison-Wesley Professional,2003,7,25
502,MySQL and Java Developer's Guide,"Mark Matthews,Joseph D. Gradecki,Jim Cole",723812140589,432,John Wiley & Sons,2003,3,6
503,Developing Java Web Services,"Ramesh Nagappan,Rima Patel Sriganesh",723812236404,758,John Wiley & Sons,2002,12,25
504,Data Structures and Algorithms in Java,Peter  Drake,9780131469143,568,Prentice Hall,2005,12,1
505,Java Database Programming Bible,John O'Donahue,9780764549243,720,Wiley,2002,8,16
506,Text Processing in Java,Mitzi Morris,,328,Colloquial Media,2014,1,19
507,Java for the World Wide Web,Dori Smith,9780201353402,,Peachpit Press,1998,9,1
508,Core Java Programming,Jitendra Patel,9781456613846,37,Ebookit.com,2013,3,10
509,"Java(TM) EE 5 Tutorial, The (3rd Edition) (The Java Series)","Eric Jendrock,Debbie Carson",9780321490292,1360,Prentice Hall PTR,2006,11,13
510,Conducting the Java Job Interview: IT Manager Guide for Java with Interview Questions,Jeffrey M. Hunter,9780974435589,150,Rampant Techpress,2004,4,1
511,The Java EE 7 Tutorial Release 7 for Java EE,"Eric Jendrock,Ricardo Cervera-Navarro,Ian Evans,Devika Gollapudi,Kim Haase,William Markito,Chinmayee Srivathsa",,942,ORACLE,2013,8,
512,Concurrent Programming in Java: Design Principles and Patterns,"Douglas Lea,Doug Lea",9780201695816,339,Addison Wesley Publishing Company,1996,11,1
513,"Java,: Java on Finger Tips.",Harry H. Chaudhary,9781499651669,830,Createspace,2014,5,21
514,Java Lernen,Judith Bishop,9783827317940,752,Pearson Higher Education,2001,6,13
515,Java?foundations,Todd Greanier,9780782143737,347,Sybex,2004,9,17
516,Pro XML Development with Java Technology,Ajay Vohra,9781590597064,451,Apress,2006,9,1
517,Mac OS X for Java Geeks,Will Iverson,9780596004002,296,O'Reilly Media,2003,5,1
518,Joomla 3 - Panduan Cerdas Membangun Website Super Keren,Java Creativity,,256,Elex Media Komputindo,2014,10,29
519,Unit Testing in Java: How Tests Drive the Code,Johannes Link,9781558608689,376,Morgan Kaufmann Publishers,2003,6,3
520,Java Platform Performance: Strategies and Tactics,Steve Wilson,9780201709698,256,Addison-Wesley Professional,2000,6,10
521,Professional Java EE Design Patterns,"Murat Yener,Alex Theedom",,264,Wrox,2014,12,17
522,Essential Jni: Java Native Interface,Rob Gordon,9780136798958,499,Prentice Hall PTR,1998,3,4
523,Java Programming with Oracle JDBC,Donald Bales,9780596000882,498,O'Reilly Media,2001,12,5
524,Crazy Men Can Make You Do Crazy Things,Java Weathersby,9781599713625,139,Java Weathers,2006,3,7
525,Beginning Java Objects,Jacquie Barker,9781861004178,665,Wrox Press,2000,1,1
526,Tricks of the Java Programming Gurus,Glenn Vanderburg,9781575211022,600,Sams,1996,7,1
527,Computer Graphics for Java Programmers,Leen Ammeraal,9780470031605,376,John Wiley & Sons,2007,3,1
528,Service Oriented Architecture with Java,Malhar Barai,9781847193216,175,Packt Publishing,2008,6,27
529,Java Web Services Architecture,"James McGovern,Michael Stevens,Sameer Tyagi",9781558609006,833,Morgan Kaufmann Publishers,2003,5,12
530,Using Java 1.2 [With *],"Joseph L. Weber,Joseph L. Weber",9780789715296,1413,Que,1998,9,1
531,Java by Dissection,"Ira Pohl,Charlie McDowell",9781411652385,453,Lulu.com,2006,8,2
532,SCJP Sun Certified Programmer for Java 5 Study Guide (Exam 310-055) (Certification Press),"Katherine Sierra,Bert Bates",9780072253603,825,McGraw-Hill Osborne,2006,1,1
533,Presenting Java,John December,9781575210391,207,Sams,1995,9,15
534,Beyond Java,Bruce A. Tate,9780596553494,208,O'Reilly Media,2005,9,22
535,Java Programming,Hari Mohan Pandey,,240,Pearson Education India,2011,12,12
536,Instant Java,John A. Pew,9780135658215,340,Prentice Hall,1996,3,28
537,Java for Android,Budi Kurniawan,9780992133030,600,BrainySoftware,2014,8,15
538,Java Structures,Duane A. Bailey,9780072891799,369,McGraw-Hill Companies,1999,1,1
539,Java Cookbook,Ian F Darwin,9780596107352,864,O'Reilly Media,2004,6,1
540,El hombre de Java: Rebelde,Pierre-Yves Gabrion,,48,Norma Editorial,1991,11,
541,"Aplikasi Inventory Menggunakan Java NetBeans, Xampp, dan iReport (Pemrograman)","Hendra Kurniawan,Eri Mardiani,Nur Rahmansyah",,240,Elex Media Komputindo,2013,2,27
542,The Hidden Force: A Story of Modern Java,Louis Couperus,9781346413105,330,Palala Press,2015,11,15
543,"Java Tutorial, The: Object-Oriented Programming for the Internet","Mary Campione,Kathy Walrath",9780201634549,831,Addison Wesley Publishing Company,1996,8,23
544,"Java, the Garden of the East",Eliza Ruhamah Scidmore,9781906393021,360,Trotamundas Press,2007,1,15
545,Java Programming for the Absolute Beginner,John P. Flynt,9781598632750,459,Course Technology,2006,6,1
546,Introduction to Neural Networks for Java,Jeff Heaton,9781604390087,440,"Heaton Research, Inc.",2008,9,15
547,The Java Class Libraries,"Patrick Chan,Rosanna Lee,Douglas Kramer",9780201310023,2080,Addison-Wesley Professional,1998,3,9
548,Introduction to Java and Software Design,"Nell B. Dale,Chip Weems,Mark Headington",9780763710644,1184,Jones & Bartlett Publishers,2000,1,1
549,Selenium Webdriver in Java,Sagar Salunke,,43,,2014,2,5
550,Jython for Java Programmers,Robert Bill,752064711117,496,Sams Publishing,2001,12,28
551,Java Programming Projects,John Sestak,9780538694049,276,Course Technology,2000,1,19
552,Java: Practical Guide for Programmers,Michael Sikora,9781558609099,150,Morgan Kaufmann Publishers,2003,1,6
553,Professional Java for Web Applications,Nick Williams,9781118656464,900,Wrox Press,2014,3,10
554,The Conquest of Java: Nineteenth-Century Java Seen Through the Eyes of a Soldier of the British Empire,William Thorn,9780794600730,369,Periplus Editions,2004,3,1
555,Selenium Simplified: A Tutorial Guide to Using the Selenium API in Java with JUnit,Alan        Richardson,9780956733214,352,Compendium Developments,2010,11,26
556,A Programmer's Guide to Java Certification: A Comprehensive Primer,Khalid Mughal,9780201728286,672,Addison-Wesley Professional,2003,8,14
557,Java Software Structures: Designing and Using Data Structures,John   Lewis,9780321245847,,Addison Wesley Longman,,,
558,Refracted Visions: Popular Photography and National Modernity in Java,Karen Strassler,9780822346111,400,Duke University Press Books,2010,4,20
559,"Java: Java Programming In 2 Hours: The Most Effective Way To Learn Java (Java, Java Programming, Java for Beginners)",Simon Bedford,,35,,2015,4,18
560,Real-Time Java Programming: With Java RTS,Eric J. Bruno,9780137142989,409,Prentice Hall PTR,2009,6,1
561,Professional Java Web Service S,"S. Jeelani Basha,Ben Galbraith,Romin Irani",9781861003751,600,Wrox Press,2002,1,21
562,Java SE 7 Programming Essentials,Michael Ernest,9781118359105,314,Sybex,2012,11,13
563,Pro Java 7 Nio.2,Anghel Leonard,9781430240112,296,Apress,2011,12,21
564,Java,Eric Oey,9780945971115,352,Periplus Editions,,,
565,"Java, Java, Java!: Object-Oriented Problem Solving [With CDROM]","R. Morelli,Ralph Morelli",9780130113320,976,Prentice Hall,2000,,
566,Design Patterns Java Workbook,Steven John Metsker,9780201743975,496,Addison-Wesley,2002,4,4
567,Java Transaction Design Strategies,Mark Richards,9781411695917,116,Lulu.com,2006,5,30
568,Effective Java (2nd Edition),Joshua Bloch,9781530427161,370,Createspace Independent Publishing Platform,2016,3,9
569,Data Structures Outside in with Java,Sesh Venugopal,9780131986190,491,Prentice Hall,2006,11,1
570,Patterns in Java: A Catalog of Reusable Design Patterns Illustrated with UML,Mark Grand,9780471227298,592,Wiley,2002,10,8
571,Bug Patterns in Java,Eric Allen,9781590590614,216,Apress,2002,10,4
572,Advanced Programming In Java,Noel Kalicharan,9781438283012,186,CreateSpace Independent Publishing Platform,2008,8,22
573,Java 7 Pocket Guide,"Robert Liguori,Patricia Liguori",9781449343750,216,O'Reilly Media,2013,7,9
574,Java Programmers Reference,Grant Palmer,9781861004222,1227,Wrox Press,,,
575,Flex on Java,"Bernerd Allmon,Jeremy Anderson",9781933988795,264,Manning Publications,2010,11,22
576,Fundamental Networking in Java,Esmond Pitt,9781846280306,381,Springer,2005,10,10
577,Advanced Java,Chris Laffra,9780135343487,270,Prentice Hall,1997,1,1
578,Java Algorithms [With *],Scott Robert Ladd,9780079136961,484,McGraw-Hill Companies,1997,12,22
579,The Java FAQ,Jonni Kanerva,9780201634563,336,Addison-Wesley Professional,1997,7,25
580,Java Programming: Comprehensive Concepts and Techniques,"Gary B. Shelly,Thomas J. Cashman,Joy L. Starks",9781418859855,1008,Cengage Learning,2005,10,1
581,Algoritma dan  Struktur Data dalam Bahasa Java,Adi Nugroho,,580,CV. Andi Offset,2008,,
582,Learn Java for Web Development: Modern Java Web Development,Vishal Layka,,472,Apress,2014,2,15
583,OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide: Exam 1Z0-808,"Jeanne Boyarsky,Scott Selikoff",9781118957400,432,Sybex,2014,12,31
584,Starting Out with Java: From Control Structures Through Objects,Tony Gaddis,9780132855839,1127,Pearson Education,2012,2,26
585,Pro EJB 3: Java Persistence API,"Mike Keith,Merrick Schincariol",9781590596456,452,Apress,2006,4,1
586,Eclipse in Action: A Guide for Java Developers,"David Gallardo,Robert McGovern,Ed Burnette,Steven Haines,Bob Foster",9781930110960,383,Manning Publications,2003,5,1
587,The Java EE 6 Tutorial: Basic Concepts,"Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa",9780137081851,559,Prentice Hall,2010,8,27
588,Building Java Enterprise Applications: Architecture,Brett McLaughlin,9780596001230,320,O'Reilly Media,2002,3,28
589,Java Script: Das Umfassende Referenzwerk,"David Flanagan,Lars Schulten,Ulrich Speidel",9783897214910,1086,O'Reilly,2007,,
590,The Puppet Master of Java,Alexander Crane,,391,Alexander Crane,2015,3,18
591,Taming Java Threads,Allen I. Holub,9781893115101,300,Apress,2000,6,1
592,Java Data Objects,"David   Jordan,Craig    Russell,Craig Russell",9780596002763,382,O'Reilly Media,2003,4,29
593,An Introduction to Network Programming with Java,Jan Graba,9781846283802,423,Springer,2006,7,1
594,Murach's Java Servlets and JSP,"Andrea Steelman,Murach, Joel / Steelman, Andrea Murach, Joel / Steelman, Andrea",9781890774189,642,Mike Murach & Associates,2003,1,1
595,Java Enterprise in a Nutshell: A Desktop Quick Reference,"Kris Magnusson,David Flanagan,Jim Farley,William Crawford",9781565924833,662,O'Reilly Media,1999,9,8
596,Java Structures: Data Structures in Java for the Principled Programmer,Duane A. Bailey,9780072399097,514,McGraw-Hill Science/Engineering/Math,2002,7,26
597,From Java to C#: A Java Developer's Guide,Heng Ngee Mok,9780321136220,464,Addison-Wesley Professional,2003,1,17
598,Java Foundation Classes in a Nutshell: A Desktop Quick Reference,David Flanagan,9781565924888,754,O'Reilly Media,1999,10,20
599,Pragmatic Unit Testing in Java 8 with Junit,"Jeff Langr,Andy Hunt,Dave Thomas",9781941222591,200,Pragmatic Bookshelf,2015,3,19
600,Java Elements: Principles in the Programming of Java,Duane A. Bailey,9780072283570,352,McGraw-Hill Companies,2001,6,12
601,Data Abstraction & Problem Solving with Java: Walls and Mirrors,"Janet Prichard,Frank Carrano",9780132122306,935,Addison Wesley Longman,2010,10,15
602,Java by Dissection: The Essentials of Java Programming,"Ira Pohl,Charlie McDowell",9780201612486,,Addison Wesley Publishing Company,2000,1,1
603,The Temples Of Java,Jacques Dumarcay,9780195825954,,Oxford University Press,,,
604,Java Jive,Dorothy Lyons,,,"HARCOURT, BRACE & CO",1955,,
605,Java Unleashed,"Michael Morrison,Rick Fanta",9781575210490,500,Sams,1996,4,1
606,Pro Ajax and Java Frameworks,Nathaniel T. Schutta,9781590596777,313,Apress,2006,7,1
607,C# for Java Developers,"Allen Jones,Adam Freeman",9780735617797,500,Microsoft Press,2002,8,24
608,Java Wake,Mike O'Quin Jr.,,315,Mantap Publishing,2015,4,27
609,Scala for Java Developers,Thomas Alexandre,9781783283637,282,Packt Publishing,2014,4,28
610,Java In Two Semesters,"Quentin Charatan,Aaron Kans,Joseph Wearing",9780077108892,573,Not Avail,2005,12,1
611,Alice in Action with Java,Joel Adams,9781423900962,616,Course Technology,2007,1,8
612,Professional Java E Commerce,"Subrahmanyam Allamaraju,Ronald Ashri,Chad Darby",9781861004819,,Wrox Press,2001,2,18
613,Java for Dummies Quick Reference,Doug Lowe,9781118168233,276,For Dummies,2012,6,5
614,Java for Students [With CDROM],"Douglas Bell,Mike Parr",9780131735798,525,Prentice Hall,2006,5,18
615,Java Card Technology for Smart Cards: Architecture and Programmer's Guide,Zhiqun Chen,9780201703290,400,Addison-Wesley Professional,2000,6,16
616,Advanced Java 2 Platform: How to Program,"Harvey M. Deitel,Paul J. Deitel,Sean E. Santry",9780130895608,,Prentice Hall,2001,9,28
617,Oca/Ocp Java Se 7 Programmer I & II Study Guide (Exams 1z0-8oca/Ocp Java Se 7 Programmer I & II Study Guide (Exams 1z0-803 & 1z0-804) 03 & 1z0-804),"Kathy Sierra,Bert Bates",9780071771993,888,McGraw-Hill/Osborne Media,2013,4,26
618,Starting Out with Java: Early Objects [With Access Code],Tony Gaddis,9780132164764,1094,Addison Wesley Longman,2010,12,4
619,Java Virtual Machine,"Troy Downing,Troy Downing,Andrew Shulmann",9781565921948,450,O'Reilly Media,1997,4,8
620,Java Management Extensions,J. Steven Perry,9780596002459,312,O'Reilly Media,2002,6,25
621,JAVA Programming Volume 2,ดร.วีระศักดิ์ ซึงถาวร,,,,,,
622,Concurrency: State Models & Java Programs [With CDROM],Jeff Magee,9780471987109,374,John Wiley & Sons,1999,4,16
623,Buku Pintar Blogger,Java Creativity,,280,Elex Media Komputindo,2014,10,15
624,Java EE 6 Pocket Guide,Arun Gupta,9781449336684,210,O'Reilly Media,2012,10,2
625,Java Concurrency in Practice [JAVA CONCURRENCY IN PRAC -OS],Brian Goetz,,,Addison-Wesley Professional,2005,5,19
626,M257 Putting Java to Work: 'lets do Java,Open University,,72,The Open University,2007,,
627,"Java by Example (Java Series (Mountain View, Calif.).)","Jerry R. Jackson,Alan McClellan",9780135657638,345,SunSoft Press,1996,3,1
628,Java Jack,"Luqman Keele,Daniel Pinkwater",9780690039962,152,Harpercollins,1980,4,1
629,Java Collections,John Zukowski,9781893115927,420,Apress,2001,4,26
630,The Java Sourcebook,Ed Anuff,9780471148593,512,Wiley,1996,2,29
631,Graphic Java,"David M. Geary,Alan L. McClellan",9780135658475,600,Prentice Hall,1997,12,1
632,Practical Java Project For Beginners,"B.M. Harwani,Ivan Bayross",9788184043426,44,Shroff Publishers,2008,,
633,Java 7: A Beginner's Tutorial,Budi Kurniawan,,716,,,,
634,Java Database Best Practices,George Reese,9780596005221,288,O'Reilly Media,2003,5,21
635,Practical Java Game Development,Dustin Clingman,9781584503262,508,Charles River Media,2004,6,30
636,Java Ee Development with Eclipse,Deepak Vohra,9781782160960,426,Packt Publishing,2012,11,17
637,Think Java: How to Think Like a Computer Scientist,Allen B. Downey,,248,Green Tea Press,2012,,
638,Java,Steve Gibbs,,449,Choose Love Press,2013,,
639,Performance Analysis for Java Websites,Stacy Joines,9780201844542,464,Addison-Wesley Professional,2002,9,20
640,Java Foundations: Introduction to Program Design & Data Structures,"John   Lewis,Peter DePasquale,Joe Chase",9780321429728,874,Addison Wesley Publishing Company,2007,3,9
641,Web Enabled Commercial Application Development Using Java 2.0,Ivan Bayross,9788176563567,,,,,
642,Data Structures & Problem Solving Using Java,Mark Allen Weiss,9780321541406,985,Addison Wesley Longman,2009,10,1
643,"The Power of Prophecy: Prince Dipanagara and the End of an Old Order in Java, 1785-1855",Peter  Carey,9789067183031,970,KITLV Press,2008,3,28
644,A Rapariga de Java,"Pramoedya Ananta Toer,Maria José Miranda Mendes",9789725645277,322,Quetzal Editores,2002,,
645,Braga: Jantung Parijs van Java,"Ridwan Hutagalung,Taufanny Nugraha",,167,Ka Bandung,2008,10,
646,Agile Java: Crafting Code with Test-Driven Development,Jeff Langr,9780131482395,752,Prentice Hall PTR,2005,2,24
647,Developing Java Servlets,James Goodwill,9780672316005,515,Sams,1999,7,1
648,Java SE8 for Programmers,"Paul J. Deitel,Harvey M. Deitel",9780133891386,1043,Prentice Hall,2014,4,9
649,"Krakatoa, East of Java",Michael Avallone,,142,Signet,1969,3,
650,"Patterns in Java, Volume 2",Mark Grand,9780471258414,368,Wiley,1999,3,11
651,Java 8: The Fundamentals,Dane Cameron,,204,Cisdal Publishing,2014,3,15
652,Java/JEE Resume Companion,"Arulkumaran Kumaraswamipillai,Sivayini Arulkumaran",,146,Lulu.com,2010,11,30
653,Java 6 Platform Revealed,John Zukowski,9781590596609,240,Apress,2006,5,1
654,C++ for Java Programmers,"Timothy A. Budd,Timothy Budd",9780201612462,290,Addison Wesley Publishing Company,1999,4,2
655,JAVA: Java - The Ultimate Beginner's Guide!,"Andrew Johansen,Java",,39,,2015,10,5
656,Professional Java Server Prog Ramming,"Danny Ayers,Mark  Wilcox",9781861002778,1168,Wrox Press,1999,1,1
657,OCA Java SE 7 Programmer I Certification Guide,Mala Gupta,9781617291043,560,Manning Publications,2013,4,8
658,Decompiling Java,Godfrey Nolan,9781590592656,264,Apress,2004,7,30
659,The Java EE Architect's Handbook: How to be a successful application architect for Java EE applications,Derek C. Ashmore,,289,DVT Press,2014,2,4
660,Journey to Java,Harold Nicolson,,254,Constable & Co. Ltd.,1957,,
661,The Java Man,Jamie James,,401,Metafor Publishing,2004,,
662,Data Structures & Algorithms Using Java,William Mcallister,9780763757564,598,Jones & Bartlett Publishers,2008,12,17
663,Tuntunan Pemrograman Java untuk Handphone,"Budi Raharjo,Imam Heryanto",9789791153010,244,Informatika,2007,,
664,Java Programming for Kids: Learn Java Step By Step and Build Your Own Interactive Calculator for Fun! (Java for Beginners),R. Chandler Thompson,,102,Healthy Wealthy nWise Press,2014,10,7
665,Developing Java Beans,Robert Englander,9781565922891,320,O'Reilly Media,1997,6,8
666,Professional Java Security,"Jess Garms,Daniel Somerfield",9781861004253,544,Wrox Press,2001,5,1
667,Computing Concepts with Java Essentials,Cay S. Horstmann,9780471243717,864,Wiley,2002,4,9
668,Java Servlets (Java masters),Karl Moss,,445,Computing Mcgraw-Hill,1998,7,6
669,Professional Java for Web Applications,Nicholas S. Williams,,884,Wrox,2014,2,21
670,Java.: Learn Java with Gangnam Style.,Harry H. Chaudhary,9781499651065,830,Createspace,2014,5,21
671,The Java(tm Developer's Guide to Eclipse,"Sherry Shavor,Jim D'Anjou,Scott Fairbrother",9780321159649,896,Addison-Wesley Professional,2003,5,19
672,Beginning Ejb 3: Java Ee 7 Edition,"Jonathan Wetherbee,Chirag Rathod,Raghu Kodali,Peter Zadrozny",9781430246923,452,Apress,2013,4,26
673,JAVA: The Ultimate Beginner's Guide!,"Andrew Johansen,Java",,74,,2015,12,5
674,Design Patterns com Java: Projeto orientado a objetos guiado por padrões,Eduardo Guerra,,250,Casa do Código,,,
