code_module,code_presentation,id_student,gender,region,highest_education,age_band,disability,wscore,sum_click
CCC,2014B,606665,M,North Western Region,A Level or Equivalent,0-35,N,7.095,1004
CCC,2014B,606724,M,East Anglian Region,A Level or Equivalent,0-35,N,4.035,1518
CCC,2014B,606724,M,East Anglian Region,A Level or Equivalent,0-35,N,66,1518
CCC,2014B,606724,M,East Anglian Region,A Level or Equivalent,0-35,N,14.595,1518
CCC,2014B,607052,M,East Midlands Region,A Level or Equivalent,35-55,N,5.385,1090
CCC,2014B,607052,M,East Midlands Region,A Level or Equivalent,35-55,N,78,1090
CCC,2014B,607052,M,East Midlands Region,A Level or Equivalent,35-55,N,15.88,1090
CCC,2014B,607061,M,Scotland,A Level or Equivalent,0-35,N,5.9,592
CCC,2014B,607061,M,Scotland,A Level or Equivalent,0-35,N,96,592
CCC,2014B,607061,M,Scotland,A Level or Equivalent,0-35,N,15.775,592
CCC,2014B,607411,F,London Region,A Level or Equivalent,0-35,Y,1.6,314
CCC,2014B,607411,F,London Region,A Level or Equivalent,0-35,Y,5.76,314
CCC,2014B,607636,M,Wales,A Level or Equivalent,0-35,N,2.8,945
CCC,2014B,607636,M,Wales,A Level or Equivalent,0-35,N,46,945
CCC,2014B,607636,M,Wales,A Level or Equivalent,0-35,N,10.33,945
CCC,2014B,607835,M,South Region,A Level or Equivalent,0-35,N,5.305,1267
CCC,2014B,607835,M,South Region,A Level or Equivalent,0-35,N,88,1267
CCC,2014B,607835,M,South Region,A Level or Equivalent,0-35,N,17.195,1267
CCC,2014B,607927,F,North Western Region,Lower Than A Level,0-35,N,1.52,615
CCC,2014B,607927,F,North Western Region,Lower Than A Level,0-35,N,6.393333333,615
CCC,2014B,607966,F,North Region,A Level or Equivalent,0-35,N,1.4,111
CCC,2014B,607966,F,North Region,A Level or Equivalent,0-35,N,5.58,111
CCC,2014B,608130,M,South West Region,Lower Than A Level,35-55,N,1.11,686
CCC,2014B,608130,M,South West Region,Lower Than A Level,35-55,N,0.9,686
CCC,2014B,608152,F,Scotland,HE Qualification,0-35,N,3.17,786
CCC,2014B,608152,F,Scotland,HE Qualification,0-35,N,24,786
CCC,2014B,608152,F,Scotland,HE Qualification,0-35,N,10.07,786
CCC,2014B,608243,M,South Region,A Level or Equivalent,0-35,N,5.0975,920
CCC,2014B,608243,M,South Region,A Level or Equivalent,0-35,N,76,920
CCC,2014B,608243,M,South Region,A Level or Equivalent,0-35,N,12.56,920
CCC,2014B,608464,M,North Western Region,Lower Than A Level,0-35,N,4.8575,1171
CCC,2014B,608464,M,North Western Region,Lower Than A Level,0-35,N,72,1171
CCC,2014B,608464,M,North Western Region,Lower Than A Level,0-35,N,17.82,1171
CCC,2014B,608472,M,North Western Region,Lower Than A Level,0-35,N,1.46,507
CCC,2014B,608504,M,North Western Region,A Level or Equivalent,0-35,N,2.413333333,1181
CCC,2014B,608504,M,North Western Region,A Level or Equivalent,0-35,N,6.63,1181
CCC,2014B,608577,M,North Region,HE Qualification,35-55,N,4.55,386
CCC,2014B,608577,M,North Region,HE Qualification,35-55,N,17.16,386
CCC,2014B,608735,F,South Region,HE Qualification,0-35,N,3.426666667,711
CCC,2014B,608735,F,South Region,HE Qualification,0-35,N,74,711
CCC,2014B,608753,M,East Midlands Region,A Level or Equivalent,0-35,N,3.59,685
CCC,2014B,608753,M,East Midlands Region,A Level or Equivalent,0-35,N,34,685
CCC,2014B,608753,M,East Midlands Region,A Level or Equivalent,0-35,N,11.725,685
CCC,2014B,608904,M,North Region,Post Graduate Qualification,35-55,N,6.135,2049
CCC,2014B,608904,M,North Region,Post Graduate Qualification,35-55,N,96,2049
CCC,2014B,608904,M,North Region,Post Graduate Qualification,35-55,N,17.935,2049
CCC,2014B,609025,M,London Region,Lower Than A Level,35-55,N,13.56,367
CCC,2014B,609045,M,Wales,HE Qualification,0-35,N,3.84,578
CCC,2014B,609045,M,Wales,HE Qualification,0-35,N,72,578
CCC,2014B,609045,M,Wales,HE Qualification,0-35,N,16.545,578
CCC,2014B,609192,M,Scotland,Lower Than A Level,0-35,N,3.155,368
CCC,2014B,609229,M,Ireland,A Level or Equivalent,35-55,N,6.145,5627
CCC,2014B,609229,M,Ireland,A Level or Equivalent,35-55,N,96,5627
CCC,2014B,609229,M,Ireland,A Level or Equivalent,35-55,N,18.375,5627
CCC,2014B,609383,M,South Region,Lower Than A Level,0-35,N,1.2,226
CCC,2014B,609450,M,Scotland,HE Qualification,0-35,N,0.2,70
CCC,2014B,609489,M,North Western Region,HE Qualification,0-35,N,0.2,369
CCC,2014B,609489,M,North Western Region,HE Qualification,0-35,N,4.14,369
CCC,2014B,609515,M,Scotland,A Level or Equivalent,0-35,N,5.2725,926
CCC,2014B,609515,M,Scotland,A Level or Equivalent,0-35,N,88,926
CCC,2014B,609515,M,Scotland,A Level or Equivalent,0-35,N,14.45,926
CCC,2014B,609602,M,South Region,A Level or Equivalent,0-35,N,6.135,2233
CCC,2014B,609602,M,South Region,A Level or Equivalent,0-35,N,94,2233
CCC,2014B,609645,M,South Region,A Level or Equivalent,0-35,N,2.4075,1633
CCC,2014B,609645,M,South Region,A Level or Equivalent,0-35,N,26,1633
CCC,2014B,609645,M,South Region,A Level or Equivalent,0-35,N,8.745,1633
CCC,2014B,610099,M,West Midlands Region,A Level or Equivalent,35-55,N,3.9875,2002
CCC,2014B,610099,M,West Midlands Region,A Level or Equivalent,35-55,N,60,2002
CCC,2014B,610099,M,West Midlands Region,A Level or Equivalent,35-55,N,14.52,2002
CCC,2014B,610287,M,East Anglian Region,HE Qualification,0-35,N,4.466666667,485
CCC,2014B,610287,M,East Anglian Region,HE Qualification,0-35,N,13.76666667,485
CCC,2014B,610391,M,West Midlands Region,Lower Than A Level,0-35,N,5.38,2155
CCC,2014B,610575,M,West Midlands Region,HE Qualification,0-35,N,3.833333333,1556
CCC,2014B,610575,M,West Midlands Region,HE Qualification,0-35,N,44,1556
CCC,2014B,610575,M,West Midlands Region,HE Qualification,0-35,N,12.935,1556
CCC,2014B,610577,M,North Region,Lower Than A Level,0-35,N,0.8,133
CCC,2014B,611062,M,South West Region,A Level or Equivalent,0-35,N,0.4,209
CCC,2014B,611176,M,Ireland,Lower Than A Level,35-55,N,5.225,681
CCC,2014B,611176,M,Ireland,Lower Than A Level,35-55,N,86,681
CCC,2014B,611260,M,West Midlands Region,A Level or Equivalent,35-55,N,4.83,1341
CCC,2014B,611260,M,West Midlands Region,A Level or Equivalent,35-55,N,80,1341
CCC,2014B,611260,M,West Midlands Region,A Level or Equivalent,35-55,N,12.76,1341
CCC,2014B,611402,M,South Region,HE Qualification,35-55,N,2.806666667,1439
CCC,2014B,611402,M,South Region,HE Qualification,35-55,N,46,1439
CCC,2014B,611402,M,South Region,HE Qualification,35-55,N,8.915,1439
CCC,2014B,612023,M,South Region,Lower Than A Level,0-35,N,2.01,843
CCC,2014B,612023,M,South Region,Lower Than A Level,0-35,N,4.86,843
CCC,2014B,612119,M,North Western Region,A Level or Equivalent,0-35,N,5.62,1276
CCC,2014B,612119,M,North Western Region,A Level or Equivalent,0-35,N,70,1276
CCC,2014B,612119,M,North Western Region,A Level or Equivalent,0-35,N,14.055,1276
CCC,2014B,612287,M,Wales,Lower Than A Level,0-35,N,0.4,90
CCC,2014B,612381,F,East Anglian Region,HE Qualification,35-55,N,5.88,576
CCC,2014B,612397,M,South East Region,Lower Than A Level,35-55,N,0.6,151
CCC,2014B,612644,M,South West Region,A Level or Equivalent,0-35,N,4.496666667,612
CCC,2014B,612644,M,South West Region,A Level or Equivalent,0-35,N,58,612
CCC,2014B,612644,M,South West Region,A Level or Equivalent,0-35,N,13.65,612
CCC,2014B,612673,M,Wales,A Level or Equivalent,0-35,N,2.445,311
CCC,2014B,612814,M,London Region,A Level or Equivalent,0-35,N,6.12,2198
CCC,2014B,612814,M,London Region,A Level or Equivalent,0-35,N,100,2198
CCC,2014B,612814,M,London Region,A Level or Equivalent,0-35,N,18.43,2198
CCC,2014B,612882,M,East Anglian Region,HE Qualification,0-35,N,3.67,253
CCC,2014B,612882,M,East Anglian Region,HE Qualification,0-35,N,8.1,253
CCC,2014B,613133,M,North Region,Post Graduate Qualification,0-35,N,5.8725,2134
CCC,2014B,613133,M,North Region,Post Graduate Qualification,0-35,N,94,2134
CCC,2014B,613133,M,North Region,Post Graduate Qualification,0-35,N,17.055,2134
CCC,2014B,613310,M,Ireland,A Level or Equivalent,0-35,N,5.16,366
CCC,2014B,613310,M,Ireland,A Level or Equivalent,0-35,N,15.06,366
CCC,2014B,613441,M,East Anglian Region,A Level or Equivalent,0-35,N,0.4,141
CCC,2014B,613461,M,Scotland,Lower Than A Level,0-35,N,3.925,1139
CCC,2014B,613461,M,Scotland,Lower Than A Level,0-35,N,38,1139
CCC,2014B,613461,M,Scotland,Lower Than A Level,0-35,N,13,1139
CCC,2014B,613501,M,East Anglian Region,Lower Than A Level,0-35,N,3.963333333,1296
CCC,2014B,613501,M,East Anglian Region,Lower Than A Level,0-35,N,68,1296
CCC,2014B,613501,M,East Anglian Region,Lower Than A Level,0-35,N,13.12,1296
CCC,2014B,614059,M,South Region,HE Qualification,35-55,Y,6.026666667,701
CCC,2014B,614059,M,South Region,HE Qualification,35-55,Y,48,701
CCC,2014B,614059,M,South Region,HE Qualification,35-55,Y,10.86,701
CCC,2014B,614263,F,Yorkshire Region,Lower Than A Level,0-35,N,1.4,99
CCC,2014B,614345,F,North Western Region,Lower Than A Level,0-35,N,0,215
CCC,2014B,614477,F,South Region,A Level or Equivalent,0-35,N,3.975,2177
CCC,2014B,614477,F,South Region,A Level or Equivalent,0-35,N,34,2177
CCC,2014B,614477,F,South Region,A Level or Equivalent,0-35,N,11.15,2177
CCC,2014B,614733,M,London Region,No Formal quals,0-35,N,1.26,252
CCC,2014B,614804,M,Scotland,A Level or Equivalent,0-35,Y,3.343333333,530
CCC,2014B,614804,M,Scotland,A Level or Equivalent,0-35,Y,10.06,530
CCC,2014B,614844,F,East Anglian Region,A Level or Equivalent,0-35,N,5.905,3274
CCC,2014B,614844,F,East Anglian Region,A Level or Equivalent,0-35,N,100,3274
CCC,2014B,614952,M,London Region,Lower Than A Level,0-35,N,0,175
CCC,2014B,615031,F,South East Region,Lower Than A Level,0-35,N,5.51,987
CCC,2014B,615031,F,South East Region,Lower Than A Level,0-35,N,68,987
CCC,2014B,615229,M,Yorkshire Region,A Level or Equivalent,0-35,Y,4.773333333,3422
CCC,2014B,615229,M,Yorkshire Region,A Level or Equivalent,0-35,Y,48,3422
CCC,2014B,615229,M,Yorkshire Region,A Level or Equivalent,0-35,Y,12.25,3422
CCC,2014B,615246,M,East Anglian Region,Lower Than A Level,0-35,N,0.6,168
CCC,2014B,615249,F,East Anglian Region,A Level or Equivalent,0-35,N,3.29,777
CCC,2014B,615249,F,East Anglian Region,A Level or Equivalent,0-35,N,64,777
CCC,2014B,615249,F,East Anglian Region,A Level or Equivalent,0-35,N,11.54666667,777
CCC,2014B,615321,F,South Region,HE Qualification,35-55,N,0.4,72
CCC,2014B,615437,M,East Anglian Region,HE Qualification,0-35,N,5.145,3729
CCC,2014B,615437,M,East Anglian Region,HE Qualification,0-35,N,80,3729
CCC,2014B,616334,M,North Region,Lower Than A Level,0-35,N,2.52,222
CCC,2014B,616407,M,Wales,Lower Than A Level,35-55,N,4.19,907
CCC,2014B,616407,M,Wales,Lower Than A Level,35-55,N,8.64,907
CCC,2014B,616831,M,North Western Region,Lower Than A Level,0-35,N,3.546666667,793
CCC,2014B,616831,M,North Western Region,Lower Than A Level,0-35,N,54,793
CCC,2014B,616831,M,North Western Region,Lower Than A Level,0-35,N,11.94,793
CCC,2014B,617331,M,South Region,A Level or Equivalent,0-35,N,1.2,93
CCC,2014B,617348,F,West Midlands Region,A Level or Equivalent,0-35,N,5.5325,2212
CCC,2014B,617348,F,West Midlands Region,A Level or Equivalent,0-35,N,68,2212
CCC,2014B,617348,F,West Midlands Region,A Level or Equivalent,0-35,N,16.015,2212
CCC,2014B,617355,F,South Region,Lower Than A Level,0-35,N,5.44,3760
CCC,2014B,617355,F,South Region,Lower Than A Level,0-35,N,78,3760
CCC,2014B,617355,F,South Region,Lower Than A Level,0-35,N,15.765,3760
CCC,2014B,617365,M,Scotland,Lower Than A Level,0-35,N,7.573333333,1822
CCC,2014B,617365,M,Scotland,Lower Than A Level,0-35,N,72,1822
CCC,2014B,617365,M,Scotland,Lower Than A Level,0-35,N,17.725,1822
CCC,2014B,617416,M,Scotland,Lower Than A Level,0-35,N,3.6675,928
CCC,2014B,617416,M,Scotland,Lower Than A Level,0-35,N,70,928
CCC,2014B,617416,M,Scotland,Lower Than A Level,0-35,N,9.65,928
CCC,2014B,617781,M,North Region,HE Qualification,35-55,N,3.885,935
CCC,2014B,617781,M,North Region,HE Qualification,35-55,N,56,935
CCC,2014B,617781,M,North Region,HE Qualification,35-55,N,9.92,935
CCC,2014B,617942,M,Scotland,HE Qualification,0-35,N,2.1,740
CCC,2014B,618002,F,Scotland,HE Qualification,0-35,N,1,298
CCC,2014B,618096,M,South West Region,A Level or Equivalent,0-35,N,5.5875,1215
CCC,2014B,618096,M,South West Region,A Level or Equivalent,0-35,N,96,1215
CCC,2014B,618129,M,South Region,Lower Than A Level,0-35,N,4.9025,1439
CCC,2014B,618129,M,South Region,Lower Than A Level,0-35,N,50,1439
CCC,2014B,618129,M,South Region,Lower Than A Level,0-35,N,15.44,1439
CCC,2014B,618279,M,North Western Region,Lower Than A Level,0-35,N,0.4,316
CCC,2014B,618279,M,North Western Region,Lower Than A Level,0-35,N,1.26,316
CCC,2014B,618571,M,North Region,A Level or Equivalent,35-55,N,3.875,2277
CCC,2014B,618571,M,North Region,A Level or Equivalent,35-55,N,42,2277
CCC,2014B,618571,M,North Region,A Level or Equivalent,35-55,N,13.5,2277
CCC,2014B,618606,M,East Midlands Region,A Level or Equivalent,0-35,N,1.2,1323
CCC,2014B,618665,M,South Region,Lower Than A Level,0-35,N,1.095,414
CCC,2014B,618665,M,South Region,Lower Than A Level,0-35,N,3.24,414
CCC,2014B,618679,M,West Midlands Region,Lower Than A Level,0-35,N,3.996666667,1143
CCC,2014B,618679,M,West Midlands Region,Lower Than A Level,0-35,N,11.52,1143
CCC,2014B,618824,F,Wales,Lower Than A Level,0-35,N,5.5375,1082
CCC,2014B,618824,F,Wales,Lower Than A Level,0-35,N,80,1082
CCC,2014B,618824,F,Wales,Lower Than A Level,0-35,N,17.855,1082
CCC,2014B,618861,M,West Midlands Region,Lower Than A Level,35-55,N,1.6,964
CCC,2014B,619006,M,North Western Region,A Level or Equivalent,0-35,N,0,156
CCC,2014B,619006,M,North Western Region,A Level or Equivalent,0-35,N,0.54,156
CCC,2014B,619014,M,Yorkshire Region,A Level or Equivalent,0-35,N,4.25,914
CCC,2014B,619014,M,Yorkshire Region,A Level or Equivalent,0-35,N,58,914
CCC,2014B,619014,M,Yorkshire Region,A Level or Equivalent,0-35,N,14,914
CCC,2014B,619303,M,South Region,A Level or Equivalent,0-35,N,5.645,1532
CCC,2014B,619303,M,South Region,A Level or Equivalent,0-35,N,100,1532
CCC,2014B,619303,M,South Region,A Level or Equivalent,0-35,N,12.41,1532
CCC,2014B,619447,M,London Region,A Level or Equivalent,35-55,N,6.25,2844
CCC,2014B,619447,M,London Region,A Level or Equivalent,35-55,N,98,2844
CCC,2014B,619870,M,South Region,A Level or Equivalent,0-35,N,5.91,2272
CCC,2014B,619870,M,South Region,A Level or Equivalent,0-35,N,100,2272
CCC,2014B,620148,M,Wales,A Level or Equivalent,0-35,N,2.6,810
CCC,2014B,620215,M,North Western Region,A Level or Equivalent,0-35,Y,0,206
CCC,2014B,620266,M,Scotland,A Level or Equivalent,0-35,N,0,254
CCC,2014B,620266,M,Scotland,A Level or Equivalent,0-35,N,3.24,254
CCC,2014B,620368,F,Scotland,Post Graduate Qualification,35-55,N,5.99,1993
CCC,2014B,620368,F,Scotland,Post Graduate Qualification,35-55,N,90,1993
CCC,2014B,620368,F,Scotland,Post Graduate Qualification,35-55,N,17.725,1993
CCC,2014B,620369,M,Wales,A Level or Equivalent,0-35,N,3.82,2238
CCC,2014B,620369,M,Wales,A Level or Equivalent,0-35,N,13.245,2238
CCC,2014B,620485,F,Scotland,HE Qualification,0-35,N,2.84,492
CCC,2014B,620646,M,South Region,Lower Than A Level,0-35,N,4.69,752
CCC,2014B,620646,M,South Region,Lower Than A Level,0-35,N,30,752
CCC,2014B,620646,M,South Region,Lower Than A Level,0-35,N,13.1,752
CCC,2014B,620876,M,South Region,A Level or Equivalent,0-35,N,3.5,1187
CCC,2014B,620876,M,South Region,A Level or Equivalent,0-35,N,4.86,1187
CCC,2014B,620897,M,London Region,A Level or Equivalent,0-35,N,5.293333333,599
CCC,2014B,620897,M,London Region,A Level or Equivalent,0-35,N,9,599
CCC,2014B,620918,M,Yorkshire Region,A Level or Equivalent,0-35,N,0.4,96
CCC,2014B,620974,F,South West Region,A Level or Equivalent,0-35,Y,3.77,1325
CCC,2014B,620974,F,South West Region,A Level or Equivalent,0-35,Y,5.78,1325
CCC,2014B,620977,M,South West Region,A Level or Equivalent,0-35,N,2.47,391
CCC,2014B,620977,M,South West Region,A Level or Equivalent,0-35,N,5.22,391
CCC,2014B,621655,M,North Western Region,Lower Than A Level,0-35,N,0.8,151
CCC,2014B,621656,M,Yorkshire Region,A Level or Equivalent,35-55,N,5.03,2567
CCC,2014B,621656,M,Yorkshire Region,A Level or Equivalent,35-55,N,72,2567
CCC,2014B,621656,M,Yorkshire Region,A Level or Equivalent,35-55,N,13.53,2567
CCC,2014B,621807,M,North Western Region,Lower Than A Level,0-35,N,0.4,289
CCC,2014B,622215,F,South Region,A Level or Equivalent,0-35,N,3.01,540
CCC,2014B,622215,F,South Region,A Level or Equivalent,0-35,N,7.04,540
CCC,2014B,622302,M,North Region,Post Graduate Qualification,55<=,N,5.885,2841
CCC,2014B,622302,M,North Region,Post Graduate Qualification,55<=,N,88,2841
CCC,2014B,622302,M,North Region,Post Graduate Qualification,55<=,N,16.58,2841
CCC,2014B,622368,M,South Region,Lower Than A Level,35-55,Y,3.763333333,1296
CCC,2014B,622368,M,South Region,Lower Than A Level,35-55,Y,50,1296
CCC,2014B,622368,M,South Region,Lower Than A Level,35-55,Y,11.555,1296
CCC,2014B,622386,M,South West Region,HE Qualification,35-55,N,4.705,3852
CCC,2014B,622652,M,Scotland,HE Qualification,0-35,N,6.055,3289
CCC,2014B,622652,M,Scotland,HE Qualification,0-35,N,100,3289
CCC,2014B,622652,M,Scotland,HE Qualification,0-35,N,18.375,3289
CCC,2014B,622753,F,South West Region,A Level or Equivalent,0-35,N,1,186
CCC,2014B,622773,F,South East Region,A Level or Equivalent,0-35,N,5.42,3778
CCC,2014B,622773,F,South East Region,A Level or Equivalent,0-35,N,78,3778
CCC,2014B,622773,F,South East Region,A Level or Equivalent,0-35,N,15.115,3778
CCC,2014B,622787,M,London Region,Post Graduate Qualification,35-55,N,5.925,2239
CCC,2014B,622787,M,London Region,Post Graduate Qualification,35-55,N,8,2239
CCC,2014B,622787,M,London Region,Post Graduate Qualification,35-55,N,21.26666667,2239
CCC,2014B,622804,M,East Midlands Region,A Level or Equivalent,0-35,N,0.8,94
CCC,2014B,622948,M,North Region,A Level or Equivalent,0-35,N,3.946666667,789
CCC,2014B,622948,M,North Region,A Level or Equivalent,0-35,N,13.62,789
CCC,2014B,623052,F,London Region,A Level or Equivalent,35-55,N,6.09,6265
CCC,2014B,623052,F,London Region,A Level or Equivalent,35-55,N,84,6265
CCC,2014B,623052,F,London Region,A Level or Equivalent,35-55,N,17.175,6265
CCC,2014B,623250,M,East Anglian Region,A Level or Equivalent,0-35,N,4.4275,2137
CCC,2014B,623250,M,East Anglian Region,A Level or Equivalent,0-35,N,46,2137
CCC,2014B,623250,M,East Anglian Region,A Level or Equivalent,0-35,N,12.385,2137
CCC,2014B,623290,F,London Region,Lower Than A Level,0-35,N,3.595,847
CCC,2014B,623290,F,London Region,Lower Than A Level,0-35,N,40,847
CCC,2014B,623290,F,London Region,Lower Than A Level,0-35,N,11.56,847
CCC,2014B,623347,M,Ireland,Post Graduate Qualification,0-35,N,5.605,694
CCC,2014B,623347,M,Ireland,Post Graduate Qualification,0-35,N,100,694
CCC,2014B,623347,M,Ireland,Post Graduate Qualification,0-35,N,18.055,694
CCC,2014B,623421,M,East Midlands Region,A Level or Equivalent,0-35,N,4.433333333,540
CCC,2014B,623421,M,East Midlands Region,A Level or Equivalent,0-35,N,42,540
CCC,2014B,623421,M,East Midlands Region,A Level or Equivalent,0-35,N,8.45,540
CCC,2014B,623562,M,West Midlands Region,A Level or Equivalent,0-35,Y,4.415,885
CCC,2014B,623562,M,West Midlands Region,A Level or Equivalent,0-35,Y,54,885
CCC,2014B,623562,M,West Midlands Region,A Level or Equivalent,0-35,Y,14.69,885
CCC,2014B,623605,M,West Midlands Region,A Level or Equivalent,0-35,N,3.59,934
CCC,2014B,623605,M,West Midlands Region,A Level or Equivalent,0-35,N,9.346666667,934
CCC,2014B,623609,M,North Western Region,Lower Than A Level,35-55,N,0,241
CCC,2014B,623667,M,South East Region,A Level or Equivalent,0-35,N,4.325,707
CCC,2014B,623667,M,South East Region,A Level or Equivalent,0-35,N,80,707
CCC,2014B,623667,M,South East Region,A Level or Equivalent,0-35,N,14.795,707
CCC,2014B,623707,F,East Midlands Region,Lower Than A Level,0-35,N,1.4,874
CCC,2014B,623707,F,East Midlands Region,Lower Than A Level,0-35,N,8.64,874
CCC,2014B,623732,M,London Region,A Level or Equivalent,35-55,N,6.04,5723
CCC,2014B,623732,M,London Region,A Level or Equivalent,35-55,N,78,5723
CCC,2014B,623732,M,London Region,A Level or Equivalent,35-55,N,17.1,5723
CCC,2014B,623780,M,Scotland,Lower Than A Level,0-35,N,4.66,878
CCC,2014B,623797,F,North Region,Lower Than A Level,35-55,N,3.875,2359
CCC,2014B,623797,F,North Region,Lower Than A Level,35-55,N,54,2359
CCC,2014B,623797,F,North Region,Lower Than A Level,35-55,N,12.54,2359
CCC,2014B,624039,M,West Midlands Region,A Level or Equivalent,0-35,N,0.4,88
CCC,2014B,624060,F,North Region,Post Graduate Qualification,35-55,N,5.666666667,10855
CCC,2014B,624060,F,North Region,Post Graduate Qualification,35-55,N,21.89,10855
CCC,2014B,624126,M,South Region,Lower Than A Level,0-35,N,1.2,469
CCC,2014B,624127,F,London Region,A Level or Equivalent,35-55,N,4.0125,920
CCC,2014B,624127,F,London Region,A Level or Equivalent,35-55,N,52,920
CCC,2014B,624127,F,London Region,A Level or Equivalent,35-55,N,8.286666667,920
CCC,2014B,624134,M,North Western Region,Lower Than A Level,0-35,N,3.88,541
CCC,2014B,624134,M,North Western Region,Lower Than A Level,0-35,N,7.47,541
CCC,2014B,624164,M,London Region,A Level or Equivalent,0-35,N,5.6975,1011
CCC,2014B,624164,M,London Region,A Level or Equivalent,0-35,N,82,1011
CCC,2014B,624164,M,London Region,A Level or Equivalent,0-35,N,15.3,1011
CCC,2014B,624441,M,South Region,A Level or Equivalent,0-35,N,4.896666667,704
CCC,2014B,624441,M,South Region,A Level or Equivalent,0-35,N,74,704
CCC,2014B,624441,M,South Region,A Level or Equivalent,0-35,N,16.71,704
CCC,2014B,624445,F,London Region,HE Qualification,0-35,N,5.875,2699
CCC,2014B,624445,F,London Region,HE Qualification,0-35,N,94,2699
CCC,2014B,624483,M,South West Region,HE Qualification,0-35,N,5.27,2673
CCC,2014B,624483,M,South West Region,HE Qualification,0-35,N,92,2673
CCC,2014B,624483,M,South West Region,HE Qualification,0-35,N,16.735,2673
CCC,2014B,624591,M,London Region,HE Qualification,0-35,N,3.24,780
CCC,2014B,624591,M,London Region,HE Qualification,0-35,N,9.346666667,780
CCC,2014B,624782,F,East Anglian Region,Lower Than A Level,0-35,N,2.71,843
CCC,2014B,624782,F,East Anglian Region,Lower Than A Level,0-35,N,28,843
CCC,2014B,624782,F,East Anglian Region,Lower Than A Level,0-35,N,7.96,843
CCC,2014B,624810,M,Scotland,HE Qualification,0-35,N,5.81,487
CCC,2014B,624810,M,Scotland,HE Qualification,0-35,N,98,487
CCC,2014B,624810,M,Scotland,HE Qualification,0-35,N,14.63,487
CCC,2014B,624875,M,South East Region,A Level or Equivalent,0-35,Y,6,1566
CCC,2014B,624875,M,South East Region,A Level or Equivalent,0-35,Y,100,1566
CCC,2014B,624970,F,Scotland,HE Qualification,0-35,N,5.02,594
CCC,2014B,624970,F,Scotland,HE Qualification,0-35,N,96,594
CCC,2014B,625014,F,South East Region,A Level or Equivalent,0-35,N,5.985,8018
CCC,2014B,625014,F,South East Region,A Level or Equivalent,0-35,N,98,8018
CCC,2014B,625028,M,South Region,HE Qualification,0-35,N,5.2975,720
CCC,2014B,625028,M,South Region,HE Qualification,0-35,N,98,720
CCC,2014B,625028,M,South Region,HE Qualification,0-35,N,17.88,720
CCC,2014B,625077,M,Scotland,A Level or Equivalent,0-35,N,4.7775,3080
CCC,2014B,625077,M,Scotland,A Level or Equivalent,0-35,N,54,3080
CCC,2014B,625077,M,Scotland,A Level or Equivalent,0-35,N,14.505,3080
CCC,2014B,625078,F,Wales,HE Qualification,0-35,N,4.3,652
CCC,2014B,625108,F,East Anglian Region,HE Qualification,35-55,N,6.045,2034
CCC,2014B,625108,F,East Anglian Region,HE Qualification,35-55,N,98,2034
CCC,2014B,625128,F,North Western Region,Lower Than A Level,0-35,Y,0.2,156
CCC,2014B,625207,M,West Midlands Region,HE Qualification,0-35,N,0.2,133
CCC,2014B,625330,M,Scotland,A Level or Equivalent,35-55,N,5.2,2177
CCC,2014B,625330,M,Scotland,A Level or Equivalent,35-55,N,98,2177
CCC,2014B,625330,M,Scotland,A Level or Equivalent,35-55,N,16.515,2177
CCC,2014B,625423,M,Scotland,Lower Than A Level,0-35,N,2.87,394
CCC,2014B,625453,M,North Region,Post Graduate Qualification,35-55,N,4.893333333,852
CCC,2014B,625453,M,North Region,Post Graduate Qualification,35-55,N,84,852
CCC,2014B,625453,M,North Region,Post Graduate Qualification,35-55,N,15.925,852
CCC,2014B,625476,M,North Western Region,Lower Than A Level,0-35,N,3.383333333,1796
CCC,2014B,625476,M,North Western Region,Lower Than A Level,0-35,N,11.93,1796
CCC,2014B,625517,M,East Anglian Region,A Level or Equivalent,35-55,N,0.6,178
CCC,2014B,625527,M,North Region,A Level or Equivalent,0-35,N,3.843333333,1491
CCC,2014B,625527,M,North Region,A Level or Equivalent,0-35,N,13.11,1491
CCC,2014B,625552,M,North Western Region,A Level or Equivalent,0-35,N,4.1225,1009
CCC,2014B,625552,M,North Western Region,A Level or Equivalent,0-35,N,60,1009
CCC,2014B,625552,M,North Western Region,A Level or Equivalent,0-35,N,12.725,1009
CCC,2014B,625574,F,West Midlands Region,A Level or Equivalent,0-35,N,5.83,2762
CCC,2014B,625574,F,West Midlands Region,A Level or Equivalent,0-35,N,100,2762
CCC,2014B,625614,M,North Region,Lower Than A Level,0-35,N,0.655,1248
CCC,2014B,625614,M,North Region,Lower Than A Level,0-35,N,1.08,1248
CCC,2014B,625684,M,East Anglian Region,A Level or Equivalent,35-55,N,4.29,475
CCC,2014B,625714,M,East Anglian Region,HE Qualification,0-35,N,4.765,509
CCC,2014B,625714,M,East Anglian Region,HE Qualification,0-35,N,32,509
CCC,2014B,625714,M,East Anglian Region,HE Qualification,0-35,N,7.09,509
CCC,2014B,625740,M,North Western Region,HE Qualification,0-35,N,4.305,661
CCC,2014B,625740,M,North Western Region,HE Qualification,0-35,N,8.215,661
CCC,2014B,625745,M,South West Region,A Level or Equivalent,0-35,N,4.945,4035
CCC,2014B,625745,M,South West Region,A Level or Equivalent,0-35,N,60,4035
