Revenue,Mou,Overage,Roam,Changem,Months,Uniqsubs,Actvsubs,Eqpdays,Customer,Creditde,Refurb,Setprcm,Retcall,Churn
28.245,50,0,0,7,25,2,1,740,1023555,0,0,1,1,1
30.26,140.75,0,0,-137.75,21,1,1,632,1023578,0,0,1,1,1
30.6025,147,1.75,0,-23,23,1,1,694,1023590,0,0,1,1,0
154.0725,706.75,214.25,0,-518.75,27,1,1,800,1023669,0,0,1,1,1
257.4175,1168.5,626,0.0975,600.5,27,2,1,509,1023685,0,0,0,0,1
35.0075,114.75,0,2.0175,-114.75,23,1,1,404,1023734,0,1,0,1,1
62.53,434,55.75,0,-394,25,1,1,737,1023791,0,0,1,1,1
58.45,282.5,28.75,0,180.5,25,2,2,455,1023833,0,1,0,1,1
22.7625,46.75,0,0,-44.75,21,1,1,628,1023839,0,0,1,1,0
29.98,9,0,0,3,27,1,1,797,1023840,0,0,1,1,1
51.655,264.75,0,0.71,91.25,21,1,1,362,1024047,0,1,0,1,0
30.69,260.5,2,0,-2.5,25,1,1,709,1024055,0,0,0,1,1
635.0625,2237.5,1368.75,24.0175,-508.5,21,1,1,95,1024209,1,0,0,0,0
22.915,41.5,14.25,0,-8.5,27,2,1,791,1024290,0,1,1,0,1
32.25,141.75,0,0,-29.75,20,1,1,444,1024316,0,0,0,1,1
10.2625,436.75,0,0.1725,30.25,20,4,2,271,1024350,0,0,0,1,1
29.99,38.5,0,0,-12.5,22,5,2,677,1024366,0,1,1,0,0
5,0,0,0,0,24,1,1,727,1024527,0,0,1,1,0
469.67,4530.75,1389,0,-967.75,24,2,2,303,1024543,0,0,0,0,0
54.8275,329.5,0,0,-321.5,26,1,1,788,1024551,0,0,0,1,0
325.0225,1710,887,5.715,-1555,22,3,2,157,1024592,0,1,0,0,0
20.985,107,17.5,0,10,26,1,1,785,1024750,0,0,1,1,1
72.36,425.25,107,0,-162.25,20,6,1,616,1024771,0,0,1,1,0
20.525,12.5,8.5,0,37.5,20,1,1,615,1024902,0,0,1,1,1
115.59,679.5,149.25,0,-73.5,22,2,2,676,1025013,0,1,1,1,1
16.62,38.5,0,0,-21.5,22,1,1,676,1025019,0,0,1,1,0
14.995,117,13.75,0,-103,22,1,1,675,1025087,0,0,1,1,1
231.925,980,439,0,-916,20,4,1,458,1025197,0,0,0,0,1
156.6925,1131,200.5,14.38,-494,26,2,1,193,1025289,0,1,0,1,1
31.93,75,20,1.645,35,20,2,1,274,1025320,0,0,0,1,1
63.08,685.5,28.5,0.0975,-261.5,20,1,1,453,1025415,0,1,0,1,1
267.125,1824.5,671.5,3.9725,481.5,20,1,1,577,1025448,0,0,0,0,1
5.045,0,0,0,0,20,1,1,607,1025525,1,0,0,1,1
52.705,261.75,25.75,0,153.25,22,4,1,397,1025527,0,1,0,0,1
44.5625,113.75,0,3.95,-49.75,22,1,1,410,1025626,0,1,0,1,0
50.2475,264.5,0,0,-110.5,24,2,1,714,1025669,0,0,1,1,0
93.3125,532.5,123.25,1.7325,-102.5,20,1,1,175,1025673,0,1,0,1,1
30.26,102.5,0,0,25.5,20,1,1,249,1025719,0,1,0,1,0
34.385,233.25,5.5,0,-42.25,22,2,2,666,1025815,0,0,1,1,1
33.5125,37,0,4.935,8,26,1,1,773,1025830,0,0,1,1,0
43.45,496.25,67.75,0,-127.25,22,1,1,456,1026002,0,0,0,1,0
15,5.5,0,0,1.5,22,1,1,505,1026023,0,1,0,1,0
16.535,25.5,17.5,1.44,-8.5,22,3,2,633,1026028,0,1,0,0,1
10.0625,4,0.25,0,5,24,9,5,710,1026082,0,0,1,0,1
48.52,190.5,50.75,0,27.5,20,1,1,602,1026116,0,1,1,1,1
53.6925,620,34.25,0,-170,26,5,4,580,1026121,0,0,0,1,0
249.8625,1757.25,487.5,0,142.75,26,6,2,388,1026281,0,0,0,0,0
52.575,148.75,0.25,3.6,61.25,24,2,2,540,1026364,0,1,0,1,1
67.4875,61.5,0,0,-47.5,24,1,1,706,1026414,0,0,1,1,1
30.0975,158.25,0.25,0,76.75,26,2,2,698,1026436,0,0,0,1,1
5,0,0,0,0,22,2,2,658,1026609,0,0,1,1,0
34.99,136.25,0,0,-19.25,22,1,1,658,1026618,0,0,1,1,1
167.36,958.25,386.75,0.0975,20.75,22,5,2,393,1026778,0,1,0,0,1
97.595,496.75,193.5,0,-377.75,22,1,1,655,1026951,0,0,1,1,1
49.99,0,0,0,0,22,9,6,654,1026988,0,0,1,0,1
30.12,27.33333333,0,0.13,-15.00692815,22,2,1,654,1026989,0,0,1,1,0
60.1975,435.5,82,0,-14.5,19,1,1,592,1026993,0,0,1,1,1
34.99,188.25,0,0,-55.25,25,1,1,757,1027417,0,0,1,1,0
132.0425,907.5,292.75,0,-850.5,21,2,1,650,1027446,0,0,1,0,1
111.09,428.5,120,0.39,112.5,23,6,3,695,1027580,0,0,1,0,0
31.9625,62.75,0,0.96,14.25,19,2,1,586,1027639,0,0,1,1,1
18.69,33.75,7.25,0.48,59.25,21,1,1,205,1027645,0,1,0,1,0
41.18,300,28,0,-77,19,2,2,585,1027745,0,0,1,1,0
38.7975,115.75,0.25,0,-104.75,19,1,1,585,1027821,0,0,1,1,1
84.045,79,79,0,53,19,3,2,583,1027963,0,1,1,0,0
20.0275,9.5,0,0,10.5,25,2,1,742,1027978,0,1,0,0,1
263.37,1224.75,696,0,-253.75,19,2,2,583,1028032,0,0,1,0,1
210.1475,1066.25,395.25,1.0725,-1066.25,19,6,3,286,1028257,0,1,0,0,1
4.8375,0,0,0,0,21,1,1,643,1028328,0,0,1,1,1
38.2475,802.75,0,0,-75.75,25,2,1,749,1028497,0,0,1,1,1
11.05,157.75,7,0,-26.75,25,3,3,748,1028538,0,0,1,1,0
187.9975,801.25,468.25,0,-486.25,19,1,1,579,1028585,0,0,1,1,0
30,185.75,0,0,-86.75,25,3,1,438,1028821,0,1,0,1,0
57.7725,549.25,20.75,0.32,-327.25,23,2,1,354,1028856,0,0,0,1,1
44.8025,606.75,10.5,0,-427.75,21,1,1,639,1028977,0,0,1,1,1
10.9,76.5,3,0,-33.5,25,2,2,399,1029048,0,1,0,1,1
22.5975,173.25,0.25,0,-123.25,25,1,1,745,1029171,0,0,1,1,1
22.5,123.25,0,0,-0.25,21,1,1,281,1029198,0,1,0,1,0
50.47,292.75,57.75,0,-239.75,23,1,1,554,1029247,0,0,0,1,1
54.8275,339.25,64.25,0,-315.25,19,1,1,559,1029248,0,0,0,1,1
280.635,1778.75,856.5,0,-1217.75,19,1,1,114,1029254,0,1,0,0,1
8,48.5,0.5,0,3.5,23,2,2,683,1029495,0,0,1,1,0
25.1375,152.5,2,0.64,-152.5,25,1,1,743,1029721,0,0,1,1,1
24.8075,27.5,1.25,0.4875,8.5,19,4,1,437,1029749,0,1,0,0,1
343.025,1925.25,1009.75,0,906.75,21,1,1,77,1029856,0,0,0,0,0
78.14,426,157.5,0,-426,23,2,2,681,1029958,0,0,1,1,1
52.9725,317.75,0,0,-172.75,21,6,2,635,1030002,0,0,1,0,1
76.335,650.25,0,0,-650.25,19,3,1,571,1030060,0,1,0,0,0
33.94,418.75,2,0,2.25,23,1,1,675,1030102,0,0,0,1,0
15.27,140,0,0,-128,19,1,1,572,1030136,0,1,1,1,1
16.295,360,38,0,-360,25,1,1,741,1030219,0,0,1,1,1
12.51,105,0,0,-57,19,1,1,248,1030227,0,1,0,1,0
12.99,0,0,0,0,25,1,1,552,1030342,1,1,0,1,1
19.8325,2.75,0,0,-2.75,21,2,2,487,1030574,0,1,0,1,1
164.495,510.75,27,103.9275,-421.75,19,2,2,571,1030604,0,0,1,0,1
101.5175,391.25,141.75,0,-173.25,19,1,1,570,1030722,0,0,1,1,1
33.5875,374.5,10.25,0,-11.5,23,1,1,678,1030782,0,0,1,1,1
30.0975,8,0,0.0975,-8,25,1,1,739,1030812,0,0,1,1,1
58.1575,759.75,135.5,0,-754.75,25,1,1,738,1031085,1,0,1,1,1
48.275,494.25,17,0,-46.25,25,9,1,505,1031262,0,1,0,0,0
72.385,230.5,0,0,-47.5,19,7,1,509,1031340,0,1,0,0,0
49.99,16.25,0,0,-16.25,15,2,1,434,1031368,0,0,0,1,1
63.7425,145,0,0,-78,21,4,3,630,1031439,0,0,1,1,1
28.42,179.5,27.25,0,36.5,21,3,1,448,1031500,0,1,0,0,1
10.8325,226.75,0,0,-33.75,19,5,3,567,1031518,0,1,1,1,0
136.7875,429.25,33.5,82.3075,-313.25,21,1,1,169,1031527,0,0,0,1,1
23.49,165.25,0,0,-165.25,25,1,1,736,1031610,0,0,1,1,1
24.83,0.75,0,0,2.25,23,1,1,675,1031817,0,0,1,1,0
291.9275,2662.75,466,1.88,-1544.75,19,2,1,513,1031945,0,0,0,0,0
233.1075,813.75,255.5,112.83,-134.75,21,2,2,247,1031976,0,0,0,0,0
30.27,278.75,0,0,-65.75,19,1,1,566,1032098,0,0,1,1,1
30,91.25,0,0,-51.25,23,1,1,672,1032431,0,0,1,1,1
146.625,1283.25,253.75,14.5525,351.75,19,13,3,11,1032532,0,0,0,0,1
10,3.75,0,0,-3.75,25,3,1,236,1032891,0,1,0,1,1
33.0675,164,10.75,0,-54,18,1,1,561,1033202,0,0,1,1,1
60.615,267.5,87.5,0,36.5,20,5,1,622,1033353,0,1,1,0,1
30.4425,37.5,0,0.195,-36.5,24,1,1,484,1033367,0,1,0,1,0
16.775,240.25,2.75,0,-240.25,18,1,1,514,1033373,0,0,0,1,1
30.705,168.25,0,0,-51.25,24,1,1,727,1033485,0,0,1,1,1
64.8575,519,57,1.2175,-456,18,1,1,301,1033518,1,1,0,1,1
5.045,0,0,0,0,18,2,2,558,1033567,0,0,1,1,1
22.4925,36.75,0,0,0.25,24,1,1,726,1033583,0,0,1,1,1
354.455,2130,1105,0,467,18,1,1,557,1033647,0,0,1,0,1
15.24,152.75,0,1.645,-34.75,18,2,1,489,1033721,0,1,0,1,1
107.32,180.75,0,77.32,-105.75,20,3,2,618,1033784,0,0,1,0,1
41.8125,186.25,39.75,1.4475,14.75,22,2,2,663,1033829,0,0,1,1,0
70.975,323.5,78.5,0,-45.5,18,2,2,555,1033830,0,0,1,1,1
135.07,1312.25,215,0,117.75,18,1,1,554,1033899,0,1,1,1,1
6.485,410,0,0,-15.00692815,24,3,2,722,1034012,0,0,1,1,1
42.49,77,0,0,-77,22,4,2,661,1034038,0,1,1,0,1
41.4625,466,0,3.07,-414,24,1,1,467,1034146,0,0,0,1,1
27.20666667,57.33333333,15.33333333,0,-15.00692815,22,1,1,659,1034194,0,0,1,1,1
20.46,362.6666667,1.333333333,0,-15.00692815,24,1,1,428,1034241,0,1,0,1,1
177.155,895.25,418.75,0.2925,670.75,22,1,1,659,1034243,0,0,1,0,0
42.545,213.25,77.75,0,-213.25,18,6,2,548,1034564,0,0,1,0,0
776.27,3977.75,2278,22.8675,29.25,18,1,1,248,1034576,1,0,0,0,0
68.5975,566.25,42.25,2,-49.25,18,1,1,546,1034698,0,0,1,1,1
35.8025,162.5,0,2.5625,-5.5,24,2,1,715,1034726,0,0,1,1,1
135.18,554,286.75,0.8975,609,18,4,1,256,1034822,0,1,0,0,1
185.595,940.5,0,88.905,235.5,22,1,1,652,1034857,0,0,1,0,0
67.335,542.75,98.5,0.2925,229.25,22,1,1,651,1034902,0,0,1,1,1
95.79666667,333.3333333,55.66666667,1.04,-15.00692815,24,1,1,411,1034947,0,1,0,1,1
8.133333333,2.333333333,0,0,-15.00692815,24,1,1,447,1035033,0,0,0,1,1
60.905,210.25,80.25,2.8275,-124.25,22,2,1,583,1035165,0,1,0,0,0
25.8375,30.25,0,0,-30.25,22,1,1,648,1035196,0,0,1,1,1
253.265,2436.5,631.75,0,-932.5,24,2,1,708,1035221,0,0,1,0,1
376.8825,2080,910.75,0.5775,2214,20,2,2,220,1035247,0,0,0,0,0
55.2525,237.75,0,3.7675,-237.75,20,10,3,597,1035494,0,0,1,0,1
31.04,158,3,0,34,22,2,1,638,1035860,0,0,0,1,1
247.705,1614.25,487.5,60.625,-105.25,21,1,1,528,1035908,0,0,0,0,1
30.1025,106,0,0,-16,21,6,2,453,1035911,0,0,0,0,1
102.0775,581,148.25,3.1025,78,19,1,1,527,1036033,0,0,0,1,1
42.1175,174,0,0,-15,19,4,2,590,1036085,0,1,1,0,0
98.4,786.75,103.25,16.6825,80.25,23,3,1,694,1036386,0,0,0,0,1
30.2475,32.5,0,0,10.5,21,3,1,561,1036452,0,1,0,1,1
112.3,452.25,0,60.5775,7.75,19,2,1,586,1036532,0,1,1,0,0
275.8525,1665,478.5,0,652,23,2,2,656,1036744,1,0,0,0,1
257.085,1249.25,750.75,0,-392.25,23,2,2,689,1036870,0,0,1,0,1
50,103.5,0,0,-47.5,23,4,2,689,1036927,0,0,1,1,1
244.25,1228.75,651.25,0,257.25,19,1,1,581,1036969,1,0,1,0,0
53.355,458.75,3.5,0,-34.75,21,1,1,627,1036970,0,0,1,1,1
20.075,44.75,6.75,0,7.25,19,1,1,581,1037016,0,0,1,1,0
74.5575,497.75,59,0.39,-175.75,23,1,1,441,1037034,0,1,0,1,0
45.4775,324.75,17.5,0,49.25,21,2,2,483,1037122,0,1,0,1,1
100.3125,519.5,54.25,45.085,-162.5,23,1,1,116,1037264,1,0,0,1,0
49.635,605.5,34.25,0.71,268.5,19,1,1,380,1037381,0,1,0,1,0
50.5025,717.5,15.75,0,19.5,21,5,3,437,1037508,0,1,0,1,1
25.24,241.6666667,4,0.78,-15.00692815,17,2,1,514,1037509,0,0,1,1,0
37.59,231,16,0,24,17,3,2,322,1037587,0,1,0,1,1
19.6175,0,0,0,0,17,1,1,513,1037690,0,0,1,1,1
50.7425,388.75,0,0,-159.75,21,1,1,428,1037774,0,1,0,1,1
47.7025,461.25,5,5.7125,-89.25,23,1,1,680,1037776,0,1,1,1,0
92.845,642.75,141.25,0.48,-35.75,19,2,1,526,1037802,0,0,0,1,1
78.805,424.5,73.5,0,-21.5,19,2,2,184,1037812,0,1,0,1,1
41.16,299.5,28.25,0.195,-40.5,19,7,2,573,1037852,0,0,1,0,0
58.95,266.75,72.75,0,-127.75,23,5,1,680,1037855,0,0,1,0,1
44.425,424,38.75,0.0975,68,17,1,1,256,1037866,0,1,0,1,1
16.25,141.25,0,0,-141.25,23,1,1,679,1037913,0,0,1,1,1
36.2625,36.25,0,0,17.75,19,4,2,572,1037937,0,1,1,0,1
54.4775,218.25,23,9.42,-11.25,21,1,1,617,1038018,0,0,1,1,1
2.695,0.5,0,0.195,-15.00692815,23,2,2,677,1038084,0,0,1,1,1
32.49,272.75,0,0,27.25,21,4,1,615,1038108,0,1,1,0,1
18.9875,21,0,0,43,23,1,1,676,1038126,0,1,1,1,1
13.14,162,0,0,-15.00692815,23,1,1,676,1038127,0,1,0,1,1
57.34,31.25,0,0,-31.25,19,2,1,385,1038249,0,0,0,1,1
17.2875,0,0,0,0,23,1,1,675,1038295,0,0,1,1,0
351.315,3576.75,1028,6.555,-2517.75,19,2,2,371,1038299,0,0,0,0,0
60.2925,275.75,66,0,-275.75,19,1,1,307,1038327,0,1,0,1,1
242.48,773.5,31.5,151.32,-9.5,17,2,2,505,1038344,0,0,1,0,1
62.885,434.25,63.25,0,22.75,23,5,1,259,1038393,0,0,0,1,1
73.7275,551.5,69.25,0.4525,251.5,19,1,1,345,1038444,0,0,0,1,1
10,0,0,0,0,23,2,1,672,1038529,0,0,1,1,1
259.6975,1449,736.5,0,-375,19,1,1,564,1038591,0,0,1,0,1
312.83,2375.25,582.25,0,-1372.25,23,1,1,216,1038671,0,0,0,1,1
43.7975,38.25,0,0.8,42.75,18,18,8,33,1038763,0,0,0,0,1
31.15,249,0,0,7,16,4,2,499,1038862,0,1,0,0,1
99.5425,379.5,196.5,0.7775,60.5,22,3,1,667,1038895,0,0,1,0,1
30.26,99.25,0,0,73.75,16,1,1,154,1038944,0,1,0,1,1
16.99,68.75,0,0,8.25,20,2,2,309,1038964,0,1,0,1,0
41.37,347,0,0,-121,20,1,1,606,1038970,0,0,1,1,1
410.2925,1920,1190.25,0,-426,18,1,1,559,1039026,0,0,1,0,0
10.5275,136.5,1.75,0,-114.5,16,8,2,496,1039090,0,0,1,0,0
32.49,16.25,0,0,-16.25,18,4,2,555,1039133,0,1,0,0,1
97.79,658,185.75,0.8075,-148,20,2,1,378,1039137,0,0,0,1,1
60.325,0,0,0,0,16,2,2,391,1039199,0,1,0,1,1
34.3575,337,0,0,109,22,3,2,420,1039451,0,0,0,1,1
58.16,316,76.5,0,368,18,1,1,402,1039707,0,1,0,1,0
102.395,800.5,251,0.47,-15.00692815,22,1,1,658,1039740,0,0,1,1,1
23.83,416.5,38.25,0,-294.5,16,2,1,363,1039787,0,0,0,1,0
105.2075,669.75,0,52.9175,-669.75,22,1,1,393,1039803,0,1,0,0,1
35.0875,239.5,0.25,0,39.5,22,2,1,351,1039813,0,0,0,1,0
56.925,907.25,0,0,-143.25,16,1,1,487,1039919,0,1,1,1,1
25.9125,0,0,0,0,18,1,1,548,1040013,0,0,0,1,1
51.32666667,364,73.66666667,0,-15.00692815,22,2,1,654,1040151,0,0,1,1,1
193.4875,1641.25,75.75,122.7025,-287.25,22,1,1,144,1040159,0,0,0,1,1
41.7475,342,31.25,0.2925,-229,16,2,1,11,1040226,0,1,0,1,1
20.97,52.25,0,0,-52.25,20,11,3,190,1040331,0,0,0,0,1
22.875,58.25,0,0,40.75,16,3,2,482,1040433,0,0,1,1,0
50.6575,205,0.25,0.0975,-122,20,1,1,324,1040472,0,1,0,1,1
301.5,2045.5,601.75,2.44,232.5,16,1,1,481,1040546,0,0,1,0,0
62.815,254.75,0,12.32,91.25,18,7,3,543,1040549,0,0,1,0,1
28.7,70,0,0,-15.00692815,18,1,1,542,1040610,0,0,1,1,0
15.675,12,7.5,0,-15.00692815,22,1,1,649,1040661,0,1,1,1,1
30,221.75,0,0,-38.75,22,2,2,619,1040676,0,0,0,1,0
93.5475,491.75,156.25,0.7725,23.25,18,1,1,266,1040828,0,1,0,1,0
454.1525,4577.5,1341,12.295,-1548.5,18,1,1,117,1040924,0,1,0,0,0
36.5125,146.5,0,0.96,18.5,16,1,1,475,1041119,0,0,1,1,0
97.55,1343,109,0,269,20,2,2,583,1041132,0,0,1,1,0
294.4,1734.25,776.75,0.0975,388.75,18,1,1,537,1041139,0,0,1,0,1
196.7775,1031.25,134.25,92.1425,1158.75,16,2,2,474,1041188,0,0,1,0,1
58.63411388,513.9735097,40.86313317,1.228694398,-15.00692815,22,2,2,619,1041571,1,0,0,1,1
64.625,856.5,45.25,7.0675,-272.5,19,5,1,473,1041721,0,1,0,0,1
115.6175,1182,43.25,17.1,-1018,19,1,1,577,1041742,0,0,1,1,0
411.8975,1272.5,0,330.215,518.5,19,1,1,577,1041747,0,0,1,0,0
62.1975,537,30.75,0,-11,17,1,1,531,1041759,0,1,1,1,0
170.76,2041.75,325.75,17.73,-298.75,15,1,1,469,1041782,0,0,1,1,1
61.4775,935,45,0,-935,19,2,2,575,1042034,0,0,1,1,1
141.3875,1594,249.75,1.0025,-1593,15,1,1,318,1042036,0,1,0,0,1
37.485,238.75,37.5,0,-236.75,19,3,2,574,1042079,0,0,1,1,0
23.75,38.75,13.75,0,-38.75,19,3,1,417,1042405,0,1,0,0,1
61.3375,530.5,88.25,0.15,-157.5,17,1,1,340,1042476,0,1,0,1,1
321.0075,1617.25,423.5,5.8625,-1324.25,21,1,1,296,1042702,0,1,0,0,1
96.6075,466.5,6,1.4575,-4.5,19,6,1,568,1042731,0,0,1,0,1
558.9325,3450.75,1723.25,0,628.25,15,1,1,331,1042739,0,0,0,1,0
243.12,1393,286.25,99,713,19,2,1,218,1042814,1,0,0,0,1
298.31,1893.25,854.5,0,26.75,17,2,1,27,1042932,0,1,0,0,0
221.845,1038.75,79,136.79,-506.75,19,1,1,566,1042942,0,0,1,0,1
57.635,329.75,28.5,10.7175,-57.75,15,1,1,458,1042950,0,0,1,1,0
29.99,179,0,0,26,19,1,1,566,1042979,0,0,1,1,1
72.1775,99.25,73.75,11.4475,297.75,17,1,1,447,1043030,0,1,0,0,1
363.1075,2366.75,681.75,0,1357.25,17,2,1,519,1043115,0,0,1,0,0
157.6675,1517.75,400.5,0,125.25,17,4,2,371,1043226,0,0,0,0,0
256.27,1414.25,251.25,96.3,1242.75,15,1,1,34,1043345,0,0,0,0,0
5,0,0,0,0,17,2,2,516,1043352,0,0,1,1,1
84.7325,320.5,138.75,0,-20.5,17,4,1,516,1043353,0,0,1,0,1
181.8775,653,201.75,74.8625,54,15,1,1,454,1043425,0,0,1,0,1
62.975,624.5,0,9.985,-624.5,21,2,1,622,1043448,0,0,1,1,1
5.75,0.75,0.75,0,-0.75,21,5,2,621,1043523,0,0,1,0,1
148.62,533.6666667,324,0,-15.00692815,17,1,1,514,1043524,0,0,1,1,0
422.4375,3411,1316.75,0.8,-170,17,3,2,101,1043617,0,0,0,0,0
56.5275,241.5,67.25,0,-14.5,21,4,2,619,1043740,0,0,1,1,0
306.2575,1635.75,840.75,0.515,860.25,15,1,1,288,1043817,0,0,0,0,0
232.775,1444.5,330,0.195,-160.5,17,3,2,398,1043868,0,1,0,0,0
34.38,234,0,0.39,-56,15,3,2,283,1043952,0,1,0,1,0
31.2975,160.25,0,0.0975,-8.25,21,1,1,369,1044120,0,1,0,1,0
142.95,1064.75,415.5,0,-1064.75,19,2,1,548,1044242,0,1,0,0,0
30.26,20,0,0,6,15,4,1,248,1044267,0,0,0,1,1
56.6275,483.25,0,0,-483.25,21,1,1,259,1044401,0,1,0,1,1
11.76,23.75,0,1.76,-21.75,19,5,3,550,1044531,0,1,1,0,1
82.905,808.25,157,0,94.75,21,1,1,611,1044646,0,0,1,1,1
30.26,180.25,0,0,38.75,15,1,1,326,1044683,0,0,0,1,0
24.93,453,0,0,-10,19,2,1,541,1044813,0,0,0,1,1
36.295,514,33.5,0,-514,21,1,1,609,1044818,0,0,1,1,1
31.49,171.5,0,0,-15.5,16,7,2,501,1044931,0,0,1,0,1
221.445,619,176,127.875,326,16,1,1,499,1045124,0,0,1,0,1
67.9875,362,1,6.0675,-116,14,3,1,418,1045614,0,1,0,0,1
68.8,245.25,0,0,-245.25,16,1,1,493,1045636,0,0,1,1,1
29.99,56.75,0,0,-5.75,18,1,1,538,1045757,0,0,1,1,1
67.7375,0,0,0,0,14,196,53,430,1045773,0,0,1,0,1
39.25,132,7.5,0.815,-105,18,1,1,537,1045827,0,0,1,1,1
40.015,247.5,0,0,-247.5,14,1,1,429,1045924,0,0,1,1,1
60.29,668.3333333,0,0,-15.00692815,20,2,2,596,1046207,0,1,1,1,1
255.7775,450.75,227.25,0.195,456.25,14,1,1,152,1046394,0,0,0,0,1
259.42,1528.5,540.75,0.16,-1179.5,18,1,1,205,1046680,1,1,0,1,1
182.35,664.25,404,0.96,-123.25,20,7,4,137,1046754,0,0,0,0,1
180.9775,946.75,63,81.285,-295.75,18,5,3,170,1046905,0,0,0,0,1
91.815,523.75,132.5,1.715,-10.75,18,6,4,513,1047007,0,1,0,0,1
39.98,104.5,25.25,0.32,12.5,18,3,2,526,1047089,0,0,1,1,0
57.2725,692.75,1.5,0,-34.75,16,2,1,356,1047157,0,0,0,1,1
89.475,422.25,169.25,0,-361.25,16,2,1,480,1047160,0,0,1,1,1
142.52,1293,255.5,0,-1293,16,1,1,276,1047171,0,1,0,0,1
41.275,615,0,0.1725,-147,14,7,2,417,1047204,0,0,1,0,0
52.97,702.5,0,0,-359.5,20,1,1,584,1047432,0,0,1,1,1
106.1125,301.25,52.5,21.37,-162.25,18,1,1,52,1047465,0,1,0,1,0
163.7975,456.5,0.25,103.5325,274.5,16,1,1,440,1047522,0,0,0,0,1
40.9125,203,78,0.47,-203,18,1,1,519,1047669,0,0,1,1,1
5,0,0,0,0,20,2,1,579,1047796,0,0,1,1,1
76.99,989,109.25,0,83,18,1,1,518,1047868,0,0,1,1,1
107.225,652,187.5,0,154,13,2,1,409,1047990,0,1,0,0,1
89.1175,143.75,13.5,0,-140.75,19,2,2,574,1048028,0,0,0,1,0
47.585,813.75,0,0,-567.75,13,1,1,394,1048058,0,1,0,1,1
46.7625,189.5,144.5,3.1375,-189.5,15,3,2,470,1048061,0,1,1,0,1
80.7025,529.25,160.25,0,-529.25,13,1,1,252,1048088,0,0,0,1,0
148.79,504.5,296,0,-391.5,15,4,2,469,1048211,0,0,1,0,0
71.76,154.5,60.25,0,5.5,17,3,2,513,1048385,0,1,1,1,1
40.70666667,227.6666667,0,1.726666667,-15.00692815,17,2,1,181,1048582,0,1,0,1,1
116.84,1099,126,0.835,-605,13,5,4,216,1048591,0,0,0,1,1
33.035,125.75,15.25,0,-101.75,15,4,3,464,1048671,0,0,1,1,1
303.105,1274.25,831.75,0.2575,67.75,15,2,2,464,1048719,0,1,1,0,1
152.64,469.25,290,5.4175,283.75,15,4,2,462,1049015,0,0,1,0,1
575.75,3328.5,1149.25,0,1134.5,15,3,1,373,1049040,0,0,0,0,1
50.8825,116.5,0,0.195,-17.5,13,6,2,398,1049143,0,0,1,0,1
5,0,0,0,0,19,3,2,476,1049437,0,1,0,1,1
303.0775,1579.25,1044.75,27.87,-424.25,13,5,5,395,1049544,0,0,1,0,0
25.9925,64,0,0,-64,17,1,1,502,1049668,0,0,1,1,1
19.99,3,0,0,-2,15,1,1,282,1049799,0,1,0,1,1
288.2125,1504.25,776.75,0,672.75,15,1,1,455,1049803,0,0,1,1,1
268.42,1102.5,689.25,10.32,-1069.5,13,1,1,341,1049909,0,0,0,0,1
55.8125,202.75,0,0,-186.75,13,1,1,389,1049938,0,0,0,1,1
33.24,146.5,0,0,-107.5,15,1,1,454,1049983,0,0,1,1,1
46.76,134,2.75,0,129,19,2,1,306,1050090,0,1,0,1,1
436.405,3246.75,507.75,138.1575,1102.25,15,2,1,185,1050093,0,0,0,0,1
52.0275,835,44.75,0,-475,17,1,1,283,1050142,0,1,0,1,1
211.62,219.75,204.25,0,659.25,13,1,1,388,1050429,0,0,1,0,1
98.7475,860.75,111.5,0,-819.75,15,2,1,239,1050430,0,0,0,1,1
89.83666667,449.3333333,140.3333333,9.033333333,-15.00692815,19,1,1,297,1050495,0,0,0,1,1
77.165,871.5,86.75,0.4525,436.5,13,1,1,276,1050503,0,1,0,1,0
22.4925,103.5,0,0,0.5,17,7,2,495,1050524,1,1,1,0,0
54.4475,176,7.75,0.905,-176,13,1,1,387,1050531,0,0,1,1,1
199,1931.25,480.25,0,679.75,19,1,1,368,1050573,1,1,0,1,1
320.84,1732.75,465.5,96.3025,309.25,13,1,1,132,1050579,0,0,0,0,0
73.55666667,394.3333333,106.6666667,0,-15.00692815,13,2,1,113,1050616,0,0,0,1,1
48.4625,372,43.5,0,86,19,1,1,554,1050730,0,1,1,1,0
14.13,43,0,0,19,19,2,2,552,1050960,0,0,1,1,1
78.4325,336.25,25.5,0,-118.25,19,4,2,352,1051077,0,1,0,1,1
449.9025,2228.25,1155,0.1725,-329.25,15,4,4,444,1051110,0,0,1,0,0
59.99,295.25,0,0,-48.25,15,1,1,443,1051211,1,1,1,1,1
294.2325,1862.75,839.75,2.085,130.25,18,2,1,503,1051677,0,0,0,0,1
370.06,3804,1100.5,13.53,678,14,1,1,109,1051792,0,1,0,0,1
72.5975,551.25,38.25,0,118.75,16,3,3,481,1052240,0,0,0,1,1
40.215,408.5,0,0,9.5,18,1,1,213,1052241,0,1,0,1,1
54.36,288.25,48,5.095,-151.25,14,1,1,66,1052295,0,1,0,1,1
40.47,58.5,23.5,0,-58.5,16,1,1,402,1052301,0,0,0,1,0
197.085,1678.5,503,0.39,-345.5,14,1,1,431,1052459,0,0,0,1,1
41.775,148.25,1.75,0,-90.25,18,1,1,330,1052520,0,1,0,1,0
