user,text
Jonahbyaru1,These rules and regulations are directed to @AmamaMbabazi who keeps on dodging questions   #UGDebate16
SarahKagingo,President #Museveni: Nobody else apart from Electoral Commission will announce results. I am a Xtian but cannot baptise! #UgandaDecides 2/2
Jonahbyaru1,"The #SteadyProgress candidate was highly welcomed in my area Rubaga 
Thank @NRMOnline
#UgandaDecides
#UGDebate16pic.twitter.com/7VaWrLD6Zq"
MtwahaN,"Via Hashim Mugabe
Kizza Besigye-Kifefe loses elections on 2 fronts 
1. Giving NRM leeway in grassroot politics... http://fb.me/7UDswrStkÂ "
jkkarungi,@mac2tweety hehehehe I better go check
kasujja,Very good start to the debate. Clearly more time/thought has gone into production. Well done #UGDebate16 team.
MtwahaN,"Isha Prayer, then to Serena."
SarahKagingo,"How did he deliver directive? Did you tap phone calls? ""@SalimWally: Museveni DIRECTS #EC to extend voting past 4.00pm.... #UgandaDecides"""
qataharraymond,"After 'routine maintenance' of the EC site, the totals on gender have been removed."
MtwahaN,#PledgePeaceUg http://fb.me/2CPKwEsvwÂ 
SarahKagingo,Braved the sun to cast my vote. Have never seen such a high voter turn out at this station! #UgandaDecides #iVotedpic.twitter.com/OubFfDx6vk
SarahKagingo,"Pres #Museveni: In 1958, when I was growing up, only 3 Ugandans had shops in my sub-county. Rest of shops were owned by Indians #UGDebate16"
AnishaUwase,where are you reading from ?https://twitter.com/lwasabad/status/698450258540494849Â â€¦
CynthiaNyamai,Kiggundu: EC has a Query Desk to receive and handle all complaints related to the elections #UgandaDecides
kasujja,I disagree. Did you President Museveni saying he's the only man? The police chief explaining their side?https://twitter.com/henruga/status/699518601833926656Â â€¦
kasujja,"#UgandaElections 
Electoral Body boss sounds alarm over preâ€“ticked ballot papers ahead of tomorrow's electionshttp://mobile.monitor.co.ug/News/EC-sounds-alarm-pre-ticked-ballot-papers/-/2466686/3080752/-/format/xhtml/-/70mgmd/-/index.htmlÂ â€¦"
SarahKagingo,"President #Museveni calls on supporters to ""regard this as a political transnight, once in 5 years. Make sure you vote"" #UgandaDecides"
CynthiaNyamai,Voting at Nsasa trading center is ongoing.  #UgandaDecidespic.twitter.com/ihoz1pBCQb
jkkarungi,Coming up......https://twitter.com/ntvuganda/status/699984040049319936Â â€¦
MtwahaN,"Nakaseke District
1. NRM 73%
2. FDC 24%"
jkkarungi,"If i was out of Uganda, learning about what's happening back home from social media, i wonder what kind of decisions i would be making now."
jkkarungi,@Floramujaasi You are going to sleep for about 48hours straight?
SarahKagingo,Pres #Museveni: #DRC had for long harboured our enemies under Mobutu. We defeated a group called NALU and later the ADF #UGDebate16 1/2
AnishaUwase,They will sit in their car and look on. Power hungry. I will not accept to be used.  https://twitter.com/tufre80/status/699562387389550592Â â€¦
jkkarungi,@KarimMakumbi @mtnug An Andrew from @mtnugcare responded but it didn't help at all. I still do not know where my bundles go.
AnishaUwase,"If you think we are not working on electricity, go & touch the wire in Oyam, you'll see what happens. M7
#UGDebate16pic.twitter.com/UdTwjyuCS3"
CynthiaNyamai,@iykimo Pan Africanism !!!
Snduhukire,@JackyKemigisa @derrick_is_me Lies.
jkkarungi,I have been fighting for this bio metric system for a long time. M7
AnishaUwase,I will fly back from BOTswana to vote M8-1  and have a beer with @andsjeff the next day(Friday) as we wait for #UgandaDecides results.
kasujja,Independent and Independent on Sunday closures confirmed http://gu.com/p/4gk2g?CMP=Share_iOSApp_OtherÂ â€¦
kasujja,"My timeline is giving me palpitations... 
Unnecessary tension.
#UgandaDecides
#UgandaElections"
CynthiaNyamai,"Kiggundu: If you're aggrieved, go to the courts of law because the law is clear. #UgandaDecides"
CynthiaNyamai,@OscarKimani 
Snduhukire,1:07am Presidential Results yet to stream in at the National Tally Centre @ntvuganda #UgandaDecidespic.twitter.com/IXBasR0DTy
jkkarungi,:(pic.twitter.com/4gKNTG8tTK
MtwahaN,"Of all candidates, Yoweri Kaguta Museveni has really answered Shaka's litmus test with ease."
Jonahbyaru1,Mbabazi represented Uganda in the Hague on the Congo case and we lost a lot of money  #UGDebate16
jkkarungi,Why do you stay in prison when the door is so wide open? Rumi
qataharraymond,#UgandaDecides FDChttps://twitter.com/RonaldMuhinda/status/700620491933880320Â â€¦
AnishaUwase,Mbabazi Foreign Policy well put #UGDebate16 #UgandaDecidespic.twitter.com/xHPVnsWusa
Jonahbyaru1,@KagutaMuseveni is holding Maureen Kyalya's hand as they pray for them  #UGDebate16
jkkarungi,"I have no problem with Yaka, i can measure and wisely use it. With @mtnug u just never know when you're going to run out"
kacungira,A 2015 #FreedomHouse report foresaw today's #UgandaSocialMediaBlackout. #UgandaDecides #UgandaElectionspic.twitter.com/GyKzq8h6cp
AnishaUwase,My Valentines couple is the Freedom fighter Museveni himself and the  wife that always gave him moral support .pic.twitter.com/lUih6Z0ilp
SarahKagingo,"#UGDebate16 @waluwande: @omizt @SarahKagingo Ok. I for for one think M7 has already bagged this one!"""
qataharraymond,"Tallying abandoned, officials walk out to 'sort the issue' with results in Kasese #UgandaDecides"
Jonahbyaru1,By 1996 the small enclave had disappeared says @KagutaMuseveni #UGDebate16
kacungira,"#UgandaDecides 1,432,653 VPN downloads on Android in Uganda yesterday thanks to #SocialMediaBlackout"
Jonahbyaru1,"THE DEBATE WAS NOT THE THING, MUSEVENI WAS THE THING.... http://fb.me/53aFb6VUEÂ "
AnishaUwase,Museveni is winning in the first round. -@AndrewMwenda #UgandaDecides analysis via @nbstv
AnishaUwase,Maybe he meant Macka Diamond .https://twitter.com/April_AFC/status/698596445147021312Â â€¦
Snduhukire,I hope Candidates are able to poke holes into each others' policies and plans. It's a Debate. #UGDebate16
MtwahaN,"ELECTIONS PROMISES TO IGNORE
As candidates get closer to election day expect them to say anything that they... http://fb.me/1awzlWGmHÂ "
Jonahbyaru1,@henryssenyonjo @Charlie_Kemi @Snduhukire @nyamadon @Jadwong no one has said so. But I can rely on your statement and say that it's true
jkkarungi,That thing when someone walks by you singing a song and then for the rest of the day that one line is playing in your head.
Snduhukire,We think you didn't leave your home in style this am.So first come back to Kasangati and leave with a procession #BesigyesArrestInterpreted
CynthiaNyamai,At StateHouse where President @KagutaMuseveni is taking calls from citizens answering their questions and concernspic.twitter.com/wUg6avAqH9
Jonahbyaru1,@AbedBwanika salutes the men in uniform.  #UGDebate16
MtwahaN,I pledge peace. Let us walk away from people who are planting seeds of violence. Defiance won't help us. . . .
Snduhukire,I agree. This man has a way of arresting himself... https://twitter.com/ChimpReports/status/699176721631805440Â â€¦
MtwahaN,"Via Prince Magoba Abu Kassim
Kabaka of Buganda Moving around clad in a Yellow Jacket morale boosting Voters. 
Thanks Ssabasajja."
Jonahbyaru1,Dr. @kizzabesigye1 can campaign anywhere because we have peace says @KagutaMuseveni #UGDebate16
kasujja,"#UgandaDecides 
Oba chaps need to chill ko..."
Snduhukire,@kezio_musoke That is being taken care of by someone else. Thank you
MtwahaN,"Via Cleo Kobusingye
Someone looking for sympathy votes!! Why should you break the law in order to get cheap... http://fb.me/4kcqf2dZSÂ "
Jonahbyaru1,It has been entered in the books of history as one of the most inspirational quotes @KagutaMuseveni #UGDebate16pic.twitter.com/wk1BXgcfUT
qataharraymond,16 Government ministers have so far been confirmed defeated in their parliamentary races #UgandaDecides
AnishaUwase,Besigye New Shirt Question answered.  #UGDebate16 #UgandaDecidespic.twitter.com/QgnrocR24N
kacungira,@LeonLidigu Asante brother.  https://twitter.com/LeonLidigu/status/700192520488284160Â â€¦
MtwahaN,"Via Mugerwa Ratif
Kizza Besigye-Kifefe can never win Museveni and he knows that in his heart because what you... http://fb.me/4NTvK45I9Â "
SarahKagingo,"President #Museveni: We're going to resolve it. In fact, plans are underway to buy out the Agha Khan company #UgandaDecides 2/2"
AnishaUwase,"In the village where people do vote, Besigyes activities today didn't score for him -Charles Odongtho #UgandaDecides via @nbstv"
qataharraymond,We do not have a written foreign policy doc. We simply map out what it would containhttps://twitter.com/miss__rizzy/status/698546309268164608Â â€¦
MtwahaN,"Perfomance ranking of the ug debate 16!
1. YKMuseveni
2. Gen. Biraaro
3. Kyalya maureen
4. DR. A. Bwanika
5. Jpam... http://fb.me/7cVWLMIfRÂ "
CynthiaNyamai,#UGDebate16 starts on a high notepic.twitter.com/8V7AgHEWBB
qataharraymond,Police mamba trailing army pickup truck patrol the street on which the tally centre is located #UgandaDecides
jkkarungi,"Why r u cast down, O my soul? & why are u disquieted within me? Hope in God For I shall yet praise Him, The help of my countenance & my God."
Jonahbyaru1,Am a proud fan of @ChelseaFC I lovehttps://twitter.com/Squawka/status/698184721583501312Â â€¦
MtwahaN,Very long and boring journey. . . . . .
Jonahbyaru1,A few hours to know the whole results as #UgandaDecides
SarahKagingo,"Yes ""@FrancisLutalo: @SarahKagingo are you using VPN to  tweet?"""
qataharraymond,Presidential Candidate @AmamaMbabazi 's home sealed off by police and army. Details to follow #UgandaDecides
SarahKagingo,"#UGDebate16 ""@WKeere: @SarahKagingo Pres M7 handshake move is the highlight so far...came out as mature. Always has an ace up his sleeve.."""
AnishaUwase,When you're to discuss Peace with a Regional Stability consultant.  #UGDebate16 #UgandaDecidespic.twitter.com/J2HkI0Q79O
Snduhukire,@henryssenyonjo That context was lacking in the tweet. Makes sense now.  @Kasabiiti @observerug
MtwahaN,"Calling an outright victory for Candidate Museveni in this debate. He was most factual, logical, statesmanly.... http://fb.me/13mpUO5XTÂ "
MtwahaN,"I am voting for President Museveni. 
I am voting for Peace
I am voting for stability 
I am voting for Steady... http://fb.me/79kx5R8DpÂ "
jkkarungi,"Wonderin where Mama Fina is. Shouldnt she join those calling 4peace or she will just work the pipes & walaah, all violent people turn calm?"
AnishaUwase,When you try reaching Besigye. #UGdebate16 pressure of Museveni attending ! #UgandaDecidespic.twitter.com/Lcij1PRW8V
AnishaUwase,The attention Mbabazi and Besigye will give to their mentor Museveni today. #UGdebate16 #UgandaDecidespic.twitter.com/vdEpHeEC83
jkkarungi,"Dreaming of who? No dear, u shld have seen the bars in town...u know how Ugandans are, they just love a good holidayhttps://twitter.com/Floramujaasi/status/700084463271804929Â â€¦"
Jonahbyaru1,@TheInsiderUg @RedPepperUG so how comes he is voting?
qataharraymond,"Empaaka z'okugamba, now underway...."
kacungira,"@swiftnyatia Thanks, it was a privilege to serve"
qataharraymond,"""Sometimes I feel I've drifted
Off To the furthest stars
Only to find I'm resting
Wrapped in your loving arms""  Ichitemwiko - Abel Chungu"
MtwahaN,"In Bududa, the NRM-leaning candidate in Bulecheke County, Godfrey Nabutanyi in a commanding lead over NRM's Modoi... http://fb.me/2Anf2qMHYÂ "
Jonahbyaru1,@KagutaMuseveni is leading  #UGDebate16
Jonahbyaru1,"#SteadyProgress
#SteadyProgress
#SteadyProgress
#SteadyProgress
#SteadyProgress
#SteadyProgress
@KagutaMuseveni must win 
@NRMOnline"
kacungira,Co-sign.https://twitter.com/spartakussug/status/700649371281420288Â â€¦
jkkarungi,#UgandaDecideshttps://twitter.com/ajokech/status/699184607061798912Â â€¦
AnishaUwase,@VillageBelle256 where does M7 come in here ?
MtwahaN,"PRESS RELEASE FROM HIS EXCELLENCE YK MUSEVENI ON SITUATION IN KAMPALA
Sheikh Yusuf Balinda... http://fb.me/2dbBvFDCeÂ "
jkkarungi,Kira road blocked as Besigye is held. Police has so far given no explanation for the arrest. Observers and supporters gathered outside.
jkkarungi,@dklugoloobi then how will people take selfies and post on facebook saying they love their country so much they went and voted??
CynthiaNyamai,@KagutaMuseveni: Why should one be superior everywhere and we are here talking simple things #UGDebate16 --- Why I love m7
AnishaUwase,Defiaance Campaing may be Besigye's biggest undoing -Analysts via @RedPepperUG #UgandaDecidespic.twitter.com/Uy1VXHfODP
qataharraymond,@RedLipsteeq I'd never leave a business card. I get to the table and schedule the next meet myself 
CynthiaNyamai,@KagutaMuseveni :When I hear what is being said here. It confirms one thing. There's only one person who can become President #UGDebate16
Jonahbyaru1,@SimonNgania stop dreaming its day time
MtwahaN,Let us wait for the real Shaka Ssali on the Straight Talk Africa. The one at #UgDebate16 is not the real one.
jkkarungi,but the EC said.....https://twitter.com/FDCOfficial1/status/699495372280954880Â â€¦
kacungira,The debate is the thing! Great choice of moderators for round 2. Let's do this! For God and our country.https://twitter.com/UGPresDebate/status/697724570636263425Â â€¦
SarahKagingo,Pres #Museveni: Oil money will be put in special fund - used for innovation infrastructure dev't( hydropower..) not consumption #UGDebate16
kacungira,@b_guilbert That's a shame. Hearing similar stories from many. Hang in there and keep us posted.
MtwahaN,Most people would be shocked and appalled if anyone or a country would adopt Nazism or fascism as doctrine and... http://fb.me/7G9JZIofMÂ 
jkkarungi,Besigye brought out of the police station. Images live on @ntvuganda
kasujja,President Museveni would say- there's no point in comparing pygmies.https://twitter.com/kopalo/status/699465522581237760Â â€¦
kacungira,"@Women4WomenUG Soldier termite head!  God forbid! Thank you though, I'm humbled.https://twitter.com/Women4WomenUG/status/698785550229180416Â â€¦"
kacungira,@ApolloLumu I agree with you
Snduhukire,@susiebuzzy Thank you. You're setting your own questions though but assuming that is being taken care of by someone else
Jonahbyaru1,#UgandaDecides #UgandaElections Ugandahttps://twitter.com/GabrielIguma/status/700257481860194304Â â€¦
Jonahbyaru1,@KagutaMuseveni says we should be out of the ICC by yesterday  #UGDebate16
Jonahbyaru1,@ByamugishaMoses @AnneMugisha That is a group of militias trained in Tanzania to cause chaos during and after elections but watch out
AnishaUwase,Like A boss #UGDebate16 #UgandaDecidespic.twitter.com/QRrVCHFmvy
Snduhukire,"Meanwhile, Makerere University students waiting to board a Hostel shuttle...pic.twitter.com/7esoDrAcWo"
Jonahbyaru1,"The voting is peaceful, free and fair in Rubaga Division. #IChoosePeaceUG #UgandaDecides"
MtwahaN,"3RD PROVISIONAL RESULTS BY EC
Polling stations: 10,247 (out of 28,010)
The Electoral Commission chairman Eng.... http://fb.me/7z9n5KbE5Â "
CynthiaNyamai,"Kiggundu: Mandela National Stadium , Namboole has been gazetted as the National elections results Tally Centre #UgandaDecides"
Jonahbyaru1,It is confirmed that all polling stations have started voting as of @ntvuganda @ntvkenya @nbstvhttps://twitter.com/kacungira/status/700256580688855040Â â€¦
AnishaUwase,"""As FDC we failed to field a candidate for Lord Mayor."" - Besigye"
MtwahaN,Every goal that Martial scores is somehow special. . . . .just like the legend Thiery himself.
jkkarungi,"""Nearly all men can stand adversity, but if you want to test a man's character, give him power."" Abraham Lincoln"
jkkarungi,and then go make a wise decision come 18th Febpic.twitter.com/zVZIBTtFT1
jkkarungi,a youthful him...https://twitter.com/mauriceochol/status/697797127553052673Â â€¦
jkkarungi,@nevender Hey....Inbox please
AnishaUwase,When the top two opposer will be at the extreme opposite end having eye contacthttps://twitter.com/beewol/status/698131914331398144Â â€¦
kasujja,But Joel can't be intimidated by the President.https://twitter.com/ntvuganda/status/699615465929379840Â â€¦
MtwahaN,I left Mbale town when it was painted all yellow as museveni is about to arrive this afternoon. Self motivated... http://fb.me/79Lhv0p2nÂ 
SarahKagingo,"6 days to #UgandaDecides polls. Honour your vote Feb 18, 7am - 4pm. @lcmuha and I say #Topowa #AskCCEDUpic.twitter.com/m9SpbaJAAZ"
AnishaUwase,For once Besigye is reading a speech not uttering from his head fwaaa. The meeting with EU ambassadors was helpful. #UgandaDecides
MtwahaN,"Before you dress up all red, carry that little present with red hearts on it, along with a red rose (maybe some... http://fb.me/76jCady3cÂ "
qataharraymond,https://twitter.com/UgandaMediaCent/status/699685192521400320Â â€¦
jkkarungi,#MyCountryMyResponsibilityhttps://twitter.com/KCCAUG/status/698447999949762560Â â€¦
kasujja,Thrown out? How? My schedule is crazy! I know that @kacungira is very busy too..https://twitter.com/kezio_musoke/status/698214000698458155Â â€¦
qataharraymond,@oleebranch hi Olee :-)
Snduhukire,@OpiyoOloya http://www.newvision.co.ug/new_vision/news/1417600/ministers-kicked-parliament?utm_source=dlvr.it&utm_medium=facebook#sthash.oW1yE0Lh.fxK67Rd4.dpufÂ â€¦ #UgandaDecides
CynthiaNyamai,"Kiggundu: Campaigns, including media campaigns, ended yesterday. I congratulate all candidates on a peaceful campaign. #UgandaDecides"
Jonahbyaru1,"I have talked to someone in the queue and everything seems peaceful #UgandaDecides
#IChoosePeaceUGhttps://twitter.com/xavi866/status/700255611242545152Â â€¦"
kasujja,Really pleased with the choice of moderators for the next round of #UGDebate16. Especially my mentor Joel Kibazo. I can't wait!!
qataharraymond,Ugandan voters now have 8 hours to begin casting their ballots in the Presidential and parliamentary race. #UgandaDecides
CynthiaNyamai,@KagutaMuseveni: I am here to talk about Uganda and not just fiction #UGDebate16 #UgandaDecides - LikeABoss
CynthiaNyamai,Kiggundu: The declaration of results will be done by @UgandaEc #UgandaDecides
Jonahbyaru1,Muhoozi Kainerugaba has a massage for Ugandans. Don't forget to tick at the bottom of the ballot paper where... http://fb.me/7xxQTzvvKÂ 
SarahKagingo,President #Museveni congratulates @MakerereU @KiiraMotors on #KayoolaSolarBus #innovation #renewableenergypic.twitter.com/7Xq5rIqWWC
AnishaUwase,So let him get more petrol stationshttps://twitter.com/silwaxxy/status/698130100848611328Â â€¦
jkkarungi,#Topowahttps://twitter.com/cceduganda/status/697798292806221824Â â€¦
Jonahbyaru1,Candidate @KagutaMuseveni is having a good time with his juniors at the  #UGDebate16
qataharraymond,"@wakaija yes, in Kasese town..."
Snduhukire,@lmwesigwa We have done that and we will continue to do it.. @ntvuganda @nbstv @newvisionwire @DailyMonitor @observerug @RedLipsteeq
kasujja,Walahi Kyalya teyalibiyimbye!
MtwahaN,They said internet would be closed at 2pm. But am still browsing like there is no tomorrow.
SarahKagingo,Candidate Maureen turns to engage candidate #Museveni as other candidates take seats after a break #UGDebate16pic.twitter.com/CpWqRSBiG9
Jonahbyaru1,Candidate @KagutaMuseveni I'd having some tea around Serena  #UGDebate16
MtwahaN,"This is where science and history sucks:
Historical and scientific research suggests that Jesus Christ may have... http://fb.me/25Q8QIr9LÂ "
Snduhukire,Besigye barred from holding rallies in CBD.  #Wandegeya #UgandaDecidespic.twitter.com/G3JYkqK2Za
MtwahaN,"1.10 a local time Friday have put NRM presidential candidate Yoweri Museveni in the lead.
Out of the 28,010... http://fb.me/296i9CKKIÂ "
MtwahaN,"You inherited a piece of land from your father. You sold it and took your money to a betting centre, and you lost... http://fb.me/3tkabAu1PÂ "
AnishaUwase,How far with copying tweets from here and making them your fb posts ? Jackson Richhttps://twitter.com/jakstyle33/status/698160409371660288Â â€¦
MtwahaN,"Wanyama Don Innocent 
Team # SteadyProgress, we are on a roll. Finally the noisy neighbours will be shut up.... http://fb.me/5DCHnUwtJÂ "
qataharraymond,"BREAKING: Police arrest @FDCOfficial1 party president, chairman and flag bearer in the elections #UgandaDecides"
CynthiaNyamai,"Access to National Tally Center will be limited to accredited journalists, observers, agents #UgandaDecidespic.twitter.com/rhPM6AQnfl"
AnishaUwase,And above #ValentinesDayhttps://twitter.com/morisatwine/status/698620335038590977Â â€¦
CynthiaNyamai,"@KagutaMuseveni :The whole of Rwenzori region is peaceful, Besigye can go there now and campaign all he wants. #UGDebate16 #UgandaDecides"
Jonahbyaru1,"#SteadyProgress
#SteadyProgress #SteadyProgress
#SteadyProgress
#SteadyProgress
#SteadyProgress"
SarahKagingo,"President #Museveni: We will continue supporting our scientists' #innovation-s, & #renewableenergy #KayoolaSolarBuspic.twitter.com/Qaf6XCCh3w"
Jonahbyaru1,Shaka Sali should not moderate the #UGDebate16 because he is biased against the government and @NRMOnline Lets be fair
qataharraymond,Presidential candidate & incumbent @KagutaMuseveni skips presser with journalists #UGDebate16
MtwahaN,"When I visited some of my buddies in Kampala, they suprised me. Lols. They all told me that:
""they don't need... http://fb.me/Yvj7mIq3Â "
qataharraymond,Running on the tarmac and I can see an injured man lying on the roadside. Kasese #UgandaDecides
SarahKagingo,"#UGDebate16 ""@Ivankentkizza: Am impressed President @KagutaMuseveni has brains @SarahKagingo"""
Snduhukire,"UG Electoral Timeline
Presidential and Parliamentary-18th Feb
LCVS and City Division Councillors-24th Feb.
Municipality C/ps- 2nd March 1/2"
kasujja,Baus. . I'm not running! https://twitter.com/EsNoah_/status/698616864633700352Â â€¦
CynthiaNyamai,"@KagutaMuseveni: The ICC is not serious. It is partisan, it is biased. It is not serious  #UGDebate16 #UgandaDecides"
qataharraymond,Military forms ring around fence at Kasese District's tally centre. Watch earlier story https://www.youtube.com/watch?v=95HgN-IstrcÂ â€¦ for context
qataharraymond,"Military reinforce Police in Wandegeya. Cannister and live bullets still being fired, 2 hours into the standoffpic.twitter.com/UfgKG4urBx"
jkkarungi,@arinaitwerach come and see your people! I cant deal! I kennat! too much! Muahahahahaha!https://twitter.com/TheRealDaytime/status/699312533375578112Â â€¦
SarahKagingo,"Wrap up: President #Museveni talks Unity, infrastructure dev't, Energy-powered economy, jobs,security #UgandaDecidespic.twitter.com/TpGZPuOryg"
MtwahaN,"Tomorrow 18th feb 2016.
I'll stand fo peace
I'll vote for steady progress
I'll exercise maximum respect fo... http://fb.me/157tDBDIGÂ "
qataharraymond,"Yet again, in a high speed car chase with the police pickup truck in which @kizzabesigye1 and Nabillah are being held #UgandaDecides"
jkkarungi,"Its the start of ""that week"" be wise, scale the heights, be nice, pray for your nation and prepare to vote."
SarahKagingo,Ongoing rehabilitation works on Nebbi -Pakwach road - @UNRA_UG #ConnectingUg #UgandaDecidespic.twitter.com/2vzs7yGPUP
kasujja,Sex with animals remains banned in Germany as legal bid failshttp://www.bbc.co.uk/news/world-europe-35611906?ocid=socialflow_twitterÂ â€¦
MtwahaN,"If you ever find anything unpalatable to you on my wall, pretend you didn't see it and move on, other than... http://fb.me/750rvTEQjÂ "
AnishaUwase,Lectures  https://twitter.com/penywaru/status/698073648251473920Â â€¦
kacungira,The scrutiny will be fiercehttps://twitter.com/Opiaiya/status/699855027540729856Â â€¦
jkkarungi,@Floramujaasi its coming to 6am. Already in the newsroom. Boss was saying...who have i not called & i said Mujaasi. She wld so love this :(
jkkarungi,Yes the opposition tells a lot of lies but the population doesn't believe them.  M7
Jonahbyaru1,"Besigye 1,182,025
Museveni 2,191,283
Mabirizi 10,266
#UgandaDecides"
kacungira,Thank you! @reems84https://twitter.com/reems84/status/698116850639597570Â â€¦
qataharraymond,"""Of the 28,010 polling stations, only 12,472 are located close to or within 200m of a power source"". "
Jonahbyaru1,40% of women in Uganda owns permanent houses.  @AbedBwanika Abedis lying mbu 70% sleep in grass thatched houses   #UGDebate16
SarahKagingo,President #Museveni: #ADF still kills #DRC citizens today! #UGDebate16
MtwahaN,"Short  Story:
(He said : I will repent tomorrow
But he went to sleep and did not wake up)"
Snduhukire,#UgandaDecides
MtwahaN,"Why you should vote for Museveni
1. Whether we look away or not, the western power houses are desperate to get a... http://fb.me/79kNE2YT4Â "
MtwahaN,"Hashim Mugabe and Arsenal have some good similarities:
1. On the face, they both have a very big following,... http://fb.me/N7Gb9wYVÂ "
AnishaUwase,"Good fighter @DaltonKaweesa Boss you said Pastor denied him a chance to speak, so @KiryowaKk asked @watotochurch . Was he supposed to ?"
AnishaUwase,Stella Nyanzi's phone was robbed yesterday by Besigye-FDC supporters yesterday at Makerere. #UgandaDecides
AnishaUwase,"Besigye: I will attend #UgDebate16 only if Museveni is available ..
M7: You're welcome for my Foreign policy classpic.twitter.com/GdypazDAR5"
jkkarungi,pic.twitter.com/yrsfVjk7mH
kacungira,Sharp!https://twitter.com/BBCAfrica/status/697744723516223488Â â€¦
MtwahaN,Honor your vote. Don't waste it. Vote Steadily. Vote Progress.
kasujja,Bunga-Kalungu near Kampala at 1313 local time. Voting should have started at 0700. #UgandaElections #UgandaDecidespic.twitter.com/AGKYYM8h8J
AnishaUwase,Nice poetry.https://twitter.com/dkimurah/status/699570493867827200Â â€¦
SarahKagingo,President #Museveni says campaigns have been a success #UgandaDecides
MtwahaN,"Litmus Test to all the 8 Candidates:..
1. Single most important decision
2. Single most regrettable decision
#UgDebate16"
kacungira,Now apparently trending on Ugandan smartphones: VPN's
qataharraymond,Let the games begin....pic.twitter.com/u4UCDAJhG6
jkkarungi,5:55pm. It should be ending just about now...all of it.
Jonahbyaru1,This is the first official presidential debate because @KagutaMuseveni is in attendance #UgandaDecides #UGDebate16
Snduhukire,Watch Live. Besigye addresses Press at his home in Kasangati.. @ntvugandapic.twitter.com/gqzpeR3Pr8
MtwahaN,"In Genesis (32:24-30),the Christian Biblical commentators state that the meaning of the term Israel is â€œthe... http://fb.me/2DW7DOCNSÂ "
MtwahaN,"Can you imagine even T.V.O the propaganda incarnate mill, has nothing to post? Conceded defeat on behalf of his godfather, KB?"
CynthiaNyamai,"Kiggundu: Complaints Desk will be reachable via toll free numbers 0800110022, 0800110023, 0800776776, 0800778778. #UgandaDecides"
kasujja,"#Uganda's presidential candidates can ALL be on the same stage.. agree.. disagree.. laugh..pray together.. and go home.
HUGE baby step!"
kacungira,@CarolNatukunda Topowa!https://twitter.com/CarolNatukunda/status/700597251249467392Â â€¦
kacungira,EC says voting extended to 7pm in some places. Hope everyone gets to vote. RT @EvanMissy: @kacungira in katwe... Nakumat supermarket
AnishaUwase,"Mr. @kizzabesigye1 because you riot , investors can't do business in the CBD. Get in order yourself to make UG open for investmt #UGDebate16"
MtwahaN,Time is ripe for Van Gaal to get the sack.
Snduhukire,I was present when 8 Presidential Candidates sat on the same platform to debate issues. #UGDebate16pic.twitter.com/QDQJrxh4JM
jkkarungi,@AyamPatra U MEAN HE IS NOT A MUGANDA?????
kasujja,That woman.. holding a child... slapped by a cop...told to board a pick up. . that I've just seen on NTV.. what had she done?
SarahKagingo,President #Museveni in queue to cast his vote earlier today #UgandaDecidespic.twitter.com/JfYcWUNZHm
SarahKagingo,"#VPN! You too are online! ""@stanmukama: @UCC_Official how and why is @SarahKagingo online? This is total bias! #UgandaDecides"""
AnishaUwase,Old people in my village told me We shall go and vote Museveni - Charles Odongtho #UgandaDecides @nbstv
Jonahbyaru1,@TheInsiderUg @RedPepperUG reported that the Kabaka had flown out due to fear of violence #UgandaDecides UgandaDe#UgandaElections
