id,title,authors,ISBN13,pages,publisher,publishedYear,publishedMonth,publishedDay
699,Core Java Professional : for the Really Impatient.,Harry. H. Chaudhary.,2940046259902,0,Programmers Mind.,2014,9,14
700,Java: A Framework for Programming and Problem Solving / Edition 1,"Kenneth A. Lambert,Martin Osborne,Martin Osborne",9780534951160,533,Brooks/Cole,1998,10,28
701,"A Field Guide to the Birds of Borneo Sumatra, Java and Bali","John MacKinnon,Karen Phillipps,Paul Andrew,Frank Rozendaal",9780198540342,692,"Oxford University Press, USA",1993,7,1
702,Java for S/390 and AS/400 COBOL Programmers,"George Farr,Phil Coulthard",9781583470114,832,Mc Press,2000,5,28
703,Systematisches Verzeichniss Der Von H. Zollinger in Den Jahren 1842-1844 Auf Java Gesammelten Pflanzen,Alexander Moritzi,9781298866684,166,Sagwan Press,2015,8,20
704,Java Garage (Garage Series),Eben Hewitt,9780321246233,461,Prentice Hall Professional Technical Reference,2004,8,9
705,Java Design: Designing with Components with CD-ROM,"Peter Coad,Jon Kern,Mark Mayfield,Jill Nicola",9780139111815,352,Pearson Education,1998,12,8
706,The Policy and Administration of the Dutch in Java - Scholar's Choice Edition,Clive Day,9781297384578,458,Scholar's Choice,2015,2,19
707,Ceylon En Java: Aanteekeningen Van Een Theeplanter,G. Mundt,9781358143892,58,Palala Press,2016,5,28
708,"Wanderings & Wonderings: India, Burma, Kashmir, Ceylon, Singapore, Java, Siam, Japan, Manila, Formosa, Korea, China, Cambodia, Australia, New Zealand, Alaska, the States",John James Aubertin,9781346256863,560,Arkose Press,2015,11,7
709,Java for Engineers and Scientists / Edition 1,Stephen J. Chapman,9780139195235,571,Pearson Education,1999,8,30
710,First Love: Stories from Spiritual Java,Banning Liebscher,9780768486964,16,"Destiny Image, Inc.",2012,6,28
711,"Singapore, Malacca, Java: Reiseskizzen (Classic Reprint)",F. Jagor,9781332366088,318,FB &c Ltd,2015,8,7
712,Introduction to Java Programming-Comprehensive / Edition 6,Y. Daniel Liang,9780132221580,1328,Prentice Hall,2006,7,13
713,Java 240 Success Secrets - 240 Most Asked Questions On Java - What You Need To Know,Scott Justice,9781488521355,74,Emereo Publishing,2013,7,24
714,Java: Your Visual Blueprint for Building Portable Java Programs,Friedman-Hill,9780764535437,305,"Wiley, John & Sons, Incorporated",1901,5,1
715,Mobile Information Device Profile for Java 2 Micro Edition (J2ME): Professional Developer's Guide,"C. Enrique Ortiz,Eric Gigu?re",9780471034650,0,Wiley,2001,11,16
716,Java Programming with CORBA,"Andreas Vogel,Keith Duddy",9780471247654,0,Wiley,1998,2,28
717,Programming-Java: An Introduction to Programming Using Java / Edition 1,"Rick Decker,Stuart Hirshfield,Stuart Hirshfield",9780534955885,567,Wadsworth,1998,1,28
718,"Invitation to Computer Science, Third Edition: Java Version / Edition 3","G.Michael Schneider,Judith Gersting,Judith Gersting",9781418836542,744,Cengage Learning,2006,2,3
719,Illustrated Bali & Java (1995),"Thomas Cook Ltd,Ben Davies",9780844290812,192,NTC Publishing Group,1994,12,28
720,An Invitation to Computer Science: Java Version / Edition 1,"G. Michael Michael Schneider,Sara Baase,Judith L. Gersting,Judith Gersting",9780534374884,724,Brooks/Cole,2000,3,1
721,Java,"James William Bayley Money,Daniel Couperus Steyn Parve",9781165452040,274,Kessinger Publishing Company,2010,9,10
722,A Laboratory Course in Java,Nell B. Dale,9780763715014,336,Jones & Barlett Learning,2000,12,15
723,Smart Card Application Development Using Java / Edition 2,"Uwe Hansmann,Martin S. Nicklous,Thomas Sch?ck,Achim Schneider,Frank Seliger",9783540432029,322,Springer Berlin Heidelberg,2002,8,26
724,Enhanced Approach For The Recognization Of Handwritten Text Using JAVA,Puri Aman,9783659461989,68,OmniScriptum GmbH & Co. KG,2014,12,2
725,De Voorstellen Van De Indische Regeering Omtrent De Gouvernements-Koffiecultuur Op Java En Sumatra's Westkust (1892),L. Wessels,9781160063401,58,Kessinger Publishing Company,2010,2,22
726,"Programming and Problem Solving with Java, Student Lecture Companion","Nell Dale,Chip Weems,Mark Headington",9780763723729,208,"Jones & Bartlett Learning, LLC",2003,1,1
727,Monumental Java (Classic Reprint),J. F. Scheltema,9781330316320,412,FB &c Ltd,2015,6,24
728,Uber die Kawi-sprache auf der Insel Java,Wilhelm von Humboldt,9781108031547,638,Cambridge University Press,2011,9,15
729,Service-Oriented Java Business Integration,Binildas A Christudas,9781847194404,436,Packt Publishing,2008,2,9
730,"SCJP: Sun Certified Programmer for Java Platform, Standard Edition 6 Study Guide (CX-310-065, includes CD-ROM)","Richard F. Raposa,Raposa",9780470417973,576,Wiley,2009,3,23
731,Lab Manual Java Programming / Edition 2,"Blayne Mayfield,Malik",9780619217617,496,Cengage Learning,2005,4,28
732,Java Gems: Jewels from Java Report,"Dwight Deugo,Donald G. Firesmith",9780521648240,0,SIGS,1998,2,13
733,Instant Java,"John A. Pew,Pew & Sunsoft Books",9780132722872,423,Prentice Hall Professional Technical Reference,1996,11,28
734,Professional Java Web Services / Edition 1,"BASHA,Jeelani Basha,Alex Toussaint,Andre Tost,Tarak Modi",9781861003751,600,Apress,2002,1,1
735,Java with Object-Oriented Programming,Paul S. Wang,9780534392765,600,"Course Technology, Inc.",2002,8,28
736,"Understanding SQL and Java Together: A Guide to SQLJ, JDBC, and Related Technologies / Edition 1","Jim Melton,Jim Gray,Andrew Eisenberg,Andrew Eisenberg",9781558605626,514,Elsevier Science & Technology Books,2000,5,1
737,Implementing Distributed Systems with Java and CORBA / Edition 1,"Markus Aleksy,Martin Schader,Axel Korthaus",9783540241737,346,Springer Berlin Heidelberg,2005,7,26
738,Core Java 2: Fundamentals / Edition 7,"Cay S. Horstmann,Gary Cornell",9780131482029,762,Prentice Hall,2004,8,17
739,Wicket: Komponentenbasiert und objektorientiert - das alternative Java-Webframework,Jochen Mader,9783868026054,218,entwickler.press,2012,3,30
740,Redesign von Java-Applets zur Simulation von Sprungantworten,"Fabian Deitelhoff,Christof Geisler",9783656244769,52,GRIN Verlag GmbH,2013,9,5
741,LDAP Programming with Java (paperback),"Rob Weltman,Tony Dahbura",9780768682144,720,Addison-Wesley,2000,2,18
742,Object-oriented Programming Using C++ and Java,Ramesh Vasapannarava,9789332512030,672,Pearson India,2011,4,23
743,Java With John - Daily Devotions for Advent and Christmas,King Schoenfeld,2940013105409,32,Creative Communications for the Parish,2011,7,26
744,The Art of Image Processing with Java,Kenny A. Hunt,9781568817170,300,Taylor & Francis,2010,12,1
745,Learn Java by Examples: Exaples on almost all the topics of Core Java,"Dr T. N. Sharma,Mr Puneet Sharma",9781493631940,116,CreateSpace Publishing,2013,11,18
746,Java by Dissection: 2nd Edition,Charlie McDowell,9781257131037,0,Lulu.com,2012,4,18
747,Java EE 7 Development with NetBeans 8,David R. Heffelfinger,9781783983520,364,Packt Publishing,2015,1,30
748,Getting Into the Flow of Grace: Stories from Spiritual Java,Banning Liebscher,9780768486599,15,"Destiny Image, Inc.",2012,6,28
749,Developing Enterprise Java Applications with Spring Frameworks: an End-To-End Approach,Henry Liu,9780615639451,424,PerfMath,2012,5,5
750,"Au Japon par Java, la Chine, la Cor e: Nouvelles Notes d'un Touriste - Scholar's Choice Edition",Eugene Brieux,9781298189691,314,Scholar's Choice,2015,2,18
751,Java in Plain English,Brian Overland,9781558285637,704,Wiley,1997,10,14
752,Using JRuby: Bringing Ruby to Java,"Charles O Nutter,Thomas Enebo,Nick Sieger,Ola Bini,Ian Dees",9781934356654,300,"Pragmatic Programmers, LLC, The",2011,1,20
753,"Java; Or, How to Manage a Colony. Showing a Practical Solution to the Questions Now Affecting British India Volume 1",James William B Money,9781290449649,364,HardPress Publishing,2012,8,1
754,Core Java Professional : For First Time Learner's.,Harry. H. Chaudhary.,2940046258196,0,Harry & Associates.,2014,9,14
755,How To Start Java Programming,Seyed Hossein Ahmadpanah,9781514737927,580,CreateSpace Publishing,2015,6,28
756,"Sams Teach Yourself Java 2 in 24 Hours, Third Edition",Rogers Cadenhead,9780672324604,526,Sams,2002,10,28
757,Muslim and Catholic Pilgrimage Practices: Explorations Through Java,Albertus Bagus Laksana,9781409463962,270,Taylor & Francis,2014,6,28
758,Introduction to Programming Using Java: An Object-Oriented Approach / Edition 1,"David M. Arnow,Gerald Weiss",9780201311846,765,Addison-Wesley,1998,3,28
759,Ivor Horton's Beginning Java 2 JDK 5 Edition,Ivor Horton,9780764568749,1512,Wiley,2004,9,20
760,"Java Methods A&AB: Object-Oriented Programming and Data Structures, AP Edition / Edition 1","Maria Litvin,Gary Litvin",9780972705578,688,Skylight Publishing,2006,3,15
761,Java Programming with Visual J++,"Martin Rinehart,Michael Sprague",9781558515062,462,"Wiley, John & Sons, Incorporated",1996,12,1
762,Java Ee 6 With Glassfish 3 Application Server,David R. Heffelfinger,9781849510363,488,Packt Publishing,2010,7,24
763,Small Java How to Program and CD Version One Package / Edition 1,"Harvey M. Deitel,Paul J. Deitel",9780131541573,624,Pearson,2004,8,9
764,The Rhopalocera of Java...,Piepers M. C. (Marinus Corne 1835-1919,9781314760194,198,HardPress Publishing,2013,12,14
765,Java 2 Platform Unleashed,Jamie Jaworski,9780672316319,1424,Sams,1999,4,9
766,Java Game Programming for Dummies,"Wayne Holder,Dummies Technical Press Staff",9780764501685,359,"Wiley, John & Sons, Incorporated",1998,3,28
767,A Jaunt Through Java: The Story of a Journey to the Sacred Mountain by Two American Boys,Ellis Edward Sylvester 1840-1916,9781313377171,306,HardPress Publishing,2013,1,28
768,RESTful JAVA Web Services Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,9781463706340,124,CreateSpace,2011,7,26
769,The CERT Oracle Secure Coding Standard for Java / Edition 1,"Fred Long,Dhruv Mohindra,Robert Seacord,Dean F. Sutherland,David Svoboda",9780321803955,744,Addison-Wesley,2011,9,22
770,Computing Concepts with Java Essentials / Edition 3,Cay S. Horstmann,9780471243717,864,Wiley,2002,4,3
771,Java EE Development with Eclipse - Second Edition,Ram Kulkarni,9781785285349,444,Packt Publishing,2015,10,31
772,Learn Java In a Weekend,Joseph P. Russell,9781931841603,482,Cengage Learning,2002,5,1
773,The Way of a Boy: A Memoir of Java,Ernest Hillen,9780140179750,208,Penguin Publishing Group,1995,9,1
774,Java Testing and Design: From Unit Testing to Automated Web Tests,Frank Cohen,9780131421899,489,Prentice Hall Professional Technical Reference,2004,3,17
775,Developing Web Services with Java APIs for XML Using WSDP,"Jay Foster,Mike Porter,Mick Porter,Jerry Foster,Dreamtech Software India Inc.",9781928994855,501,Syngress Publishing,2002,6,1
776,Java Connector Architecture: Building Enterprise Adaptors,Atul Apte,9780672323102,344,Sams,1902,4,1
777,Java in Easy Steps: Fully Updated for Java 7,Mike McGrath,9781840784435,192,In Easy Steps Limited,2011,11,29
778,"Unsere Reise Durch Indien, Java Und Ceylon Im Jahre 1910",Mar Zimmer,9783956561191,272,weitsuechtig,2013,6,17
779,Java EE 5 Development with NetBeans 6,David R. Heffelfinger,9781847195470,400,Packt Publishing,2008,10,31
780,"Narrative of a Journey Round the World: Comprising a Winter-Passage Across the Andes to Chili; With a Visit to the Gold Regions of California and Australia, the South Sea Islands, Java, & C",Friedrich Gerst cker,9781340988623,632,Palala Press,2015,9,1
781,Java in a Time of Revolution,Anderson Benedict R. O'G.,9780801406874,503,Cornell University Press,1972,4,28
782,Webservice- Und Rpc-Basierte Kommunikation Von Java Mit Sap-Systemen,Frank Alexander Hardenack,9783639183740,86,VDM Verlag,2009,7,26
783,"Introduction to Java Programming, Brief Version, Student Value Edition / Edition 9",Y. Daniel Liang,9780132995160,0,Pearson,2012,3,19
784,Java E-Commerce,"Apress,Mark G. Kerzner,Tracie Karsjens,Robert Flenner,Chad Derby",9781861004819,1018,Apress,2001,2,1
785,Mise En Oeuvre D'Un Syst Me Java En Imagerie,TREMBLAY-M,9786131532375,88,OmniScriptum GmbH & Co KG,2010,9,2
786,Activities Workbook for Java BASICS / Edition 1,"Kenneth Lambert,Martin Osborne",9780619059767,64,Cengage Learning,2002,5,1
787,Java Application Development with Linux,"Carl Albing,Michael Schwarz",9780131436978,600,Prentice Hall,2004,11,22
788,Java 2 Certification Virtual Trainer (Sybex E-Trainer Series),"Simon Roberts,Michael Ernest",9780782150155,768,"Sybex, Incorporated",2001,4,1
789,Client/Server Programming with Java and CORBA,"Robert Orfali,Dan Harkey",9780471163510,688,Wiley,1997,2,1
790,"Java: Past Present, a Description of the Most Beautiful Country in the World, Its Ancient History, People, Antiquities, and Products, Vol. 1 (Classic Reprint)",Donald Maclaine Campbell,9781330920763,818,FB &c Ltd,2015,7,7
791,Memory Leaks in Java,"Angelika Langer,Klaus Kreft",9783868024647,0,entwickler.press,2013,9,6
792,Java Ee 6 Development With Netbeans 7,David Heffelfinger,9781849512701,392,Packt Publishing,2011,6,23
793,Java 2 Network Protocols Black Book,Al Williams,9781932111217,592,"Paraglyph Press, Inc.",2001,9,28
794,"The History Of Java, Volume 2",Sir Thomas Stamford Raffles,9781340137786,696,Sagwan Press,2015,8,24
795,Core Java Media Framework,Linden deCarmo,9780130115195,358,Prentice Hall Professional Technical Reference,1999,6,24
796,Java Spider,Geoffrey Archer,9780099549512,440,Random House Adult Trade Publishing Group,1997,8,28
797,Combat Darkness with Joyful Worship: Stories from Spiritual Java,Beni Johnson,9780768486841,16,"Destiny Image, Inc.",2012,6,28
798,Java And Sql,Malcolm Taylor,9780955676307,240,Malcolm Taylor,2007,10,21
799,"Conducting the Webmaster Job Interview: IT Manager Guide with Javascript, Java Applets, Front Page, Flash, Perl, PHP+, and DreamWeaver Interview Questions",Janet Burleson,9780974599311,150,Rampant Techpress,2004,5,28
800,Building 3D Worlds in Java and VRML,"Martin McCarthy,Alistair Carty",9780137486250,382,Simon & Schuster International,1998,2,5
801,"Java, XML, and Web Services Bible",Mike Jasnowski,9780764548475,0,Wiley,1902,1,1
802,Java(TM) in Practice : Design Styles and Idioms for Effective Java,"Nigel Warren,Phil Bishop",9780201360653,224,Addison-Wesley,1998,12,15
803,The Hidden Force: A Story of Modern Java,Couperus Louis,9781318950904,302,HardPress Publishing,2016,6,23
804,"The Voyage of Francois Leguat of Bresse, to Rodriguez, Mauritius, Java, and the Cape of Good Hope, Volume 1",Francois Le Guat,9781358041198,272,Palala Press,2016,5,28
805,"Pro JavaFX Platform: Script, Desktop and Mobile RIA with Java Technology / Edition 1","James Weaver,Weiqi Gao,Stephen Chin,Dean Iverson",9781430218753,568,Apress,2009,7,19
806,Graphic Java: Mastering the AWT,"David M. Geary,Alan McClellan",9780135658475,600,Prentice Hall Professional Technical Reference,1996,7,30
807,Web Development with Java Server Pages,"Duane K Fields,Mark A Kolb,Shawn Bayern,Mark A. Kolb",9781930110120,800,"O'Reilly Media, Incorporated",2001,11,30
808,The Minimum You Need to Know About Java on OpenVMS,Roland Hughes,9780977086610,352,Logikal Solutions,2006,7,1
809,Java Multimedia Cyber Classroom,"Harvey M. Deitel,Paul J. Deitel",9780132719742,0,Prentice Hall Professional Technical Reference,1996,12,1
810,A Jaunt Through Java: The Story of a Journey to the Sacred Mountain by Two American Boys (1888),Edward Sylvester Ellis,9781436734790,300,Kessinger Publishing Company,2008,6,28
811,Noto Of Java,Jono Hardjowirogo,9781469199962,270,Xlibris Corporation,2012,5,8
812,Benchmarking of Java Cryptoalgorithms: A comparison of different algorithms in different java libraries,"Stefan Risse,Christian Stegerer",9783640315024,0,GRIN Verlag GmbH,2009,1,1
813,Erweiterung von MS Dynamics NAV um eine Java ME-Offline-Zeiterfassung,Rico Kuntze,9783639250497,160,OmniScriptum GmbH & Co. KG,2010,4,16
814,On Cane Sugar and the Process of Its Manufacture in Java (Classic Reprint),Prinsen Geerligs,9781332172542,156,FB &c Ltd,2015,8,4
815,Echoes,"Mike Richardson,Gabriel Guzman,Java Tartaglia",9781506701233,104,Dark Horse Comics,2016,12,6
816,"programming.java: An Introduction to Programming Using Java, Second Edition: An Introduction to Programming Using Java, 2nd / Edition 2","Rick Decker,Stuart Hirshfield",9780534371098,640,Cengage Learning,1999,12,24
817,Peter Norton's Guide to Java Programming: With CD-ROM,"Peter Norton,William Stanek",9781575210889,912,Sams,1996,6,21
818,Java Advanced,unknown,9781582641317,250,ActiveEducation,2001,1,28
819,Java Design Patterns for Automation and Performance,venkateswara Rao,2940152269550,0,venkateswara Rao,2015,8,1
820,"Java Software Solutions: Foundations of Program Design, CodeMate Enhanced Edition / Edition 3","John Lewis (5),William Loftus,William Loftus",9780321197191,960,Pearson,2003,8,1
821,Instant Java Servlets (Book/CD-ROM Package),"Phillip Hanna,Philip Hanna,Phil Hanna",9780072124255,816,McGraw-Hill Professional,2000,5,22
822,A Peaceful Jihad: Negotiating Identity and Modernity in Muslim Java,R. Lukens-Bull,9781403966605,176,Palgrave Macmillan US,2005,5,11
823,"Enterprise Java 2,J2ee 1.3 Complete","Dave Evans, Greg Jarboe, Hollis Thomases, Mari Smith, Chris Treadaway,Sybex Inc",9780782141450,974,Wiley,2002,11,13
824,Implementing SOA Using Java EE,B.V. Kumar,9780137061563,384,Pearson Education,2009,12,23
825,The Struts Framework: Practical Guide for Java Programmers,"Sue Spielman,Sue Spielman",9781558608627,137,Elsevier Science,2002,11,2
826,Java 1.1,"HORTON,Anthea Elston,Chris Ullman,Simon Gilks,Timothy Briggs",9781861000279,1039,Apress,1997,4,1
827,Java? Programming: Guided Learning with Early Objects / Edition 1,"D. S. Malik,Robert P. Burton",9781423901624,1019,Cengage Learning,2008,2,13
828,Java Software Solutions: Foundations of Program Design / Edition 7,"John Lewis (5),William Loftus",9780132149181,832,Pearson,2011,3,14
829,An Introduction to Network Programming with Java: Java 7 Compatible / Edition 3,Jan Graba,9781447152538,380,Springer London,2013,8,31
830,A Guide to Programming in Java,"Jan Marrelli,Beth Brown",9780821962138,372,"Lawrenceville Press, Incorporated",2012,1,1
831,The Political Economy Of Mountain Java / Edition 1,Robert W. Hefner,9780520082694,316,University of California Press,1990,1,19
832,Graphics Programming with Java (with CD-ROM) / Edition 2,Roger T. Stevens,9781886801912,406,Cengage Delmar Learning,1999,7,1
833,"MyProgrammingLab with Pearson eText -- Access Card -- for Java How to Program, Early Objects / Edition 10","Paul Deitel,Harvey Deitel",9780133811902,1200,Pearson,2014,3,19
834,Java Transaction Processing (Hewlett-Packard Professional Books): Design and Implementation,"Mark Little,Jon Maron,Greg Pavlik,Jonathan Maron",9780130352903,448,Prentice Hall,2004,7,4
835,Java Database Connectivity,Heinz Hille,9783941482302,96,Europ ischer Hochschulverlag GmbH & Co. KG,2009,7,7
836,An Introduction To Programming Using Java,Anthony J. Dos Reis,9781449639037,450,Jones & Bartlett Learning,2011,6,30
837,"JDBC API Tutorial and Reference, Second Edition: Universal Data Access for the Java 2 Platform / Edition 2","Seth White,Mark Hapner,Graham Hamilton,Rick Cattell,Maydene Fisher",9780201433289,1059,Pearson Education,1999,6,11
838,Reviewing Java,Alex Maureau,9780557043552,390,Lulu.com,2009,11,17
839,Sun Certified Enterprise Architect for Java EE Study Guide / Edition 2,Mark Cade,9780131482036,191,Prentice Hall,2010,2,12
840,"Forget, but Don't Forget: Stories from Spiritual Java",Kris Vallotton,9780768486636,15,"Destiny Image, Inc.",2012,6,28
841,"Pro Java 6 3D Game Development: Java 3D, JOGL, JInput and JOAL APIs / Edition 1",Andrew Davison,9781590598177,528,Apress,2007,4,25
842,Java Microarchitectures / Edition 1,"Vijaykrishnan Narayanan,Mario L. Wolczko",9781402070341,2002,Springer US,2002,4,30
843,Java Persistence API in EJB 3 for Professionals,"Sharanam Shah,Vaishali Shah",9781619030343,160,Arizona Business Alliance LLC,2009,5,18
844,"Java Threads, Second Edition","Scott Oaks,Henry Wong",9781565924185,344,"O'Reilly Media, Incorporated",1999,1,27
845,"Meine Zweite Weltreise (Gesamtausgabe - Teil 1 bis 4): Von Wien nach London, Singapore, Borneo, Java, Sumatra, Celebes, Die Molukken, Kalifornien, Peru, Ecuador und Vereinigte Staaten von Nordamerika",Ida Pfeiffer,9788026841647,249,e-artnow,2015,7,19
846,Java for Beginners: As Per the ICSE Computer Applications Syllabus,Anchit Desai,9781257435333,0,Lulu.com,2011,10,4
847,Java Security,Scott Oaks,9780596001575,620,"O'Reilly Media, Incorporated",2001,5,24
848,"Developing Javabeans Using VisualAge for Java, Version 2 with Cdrom","Dale R. Nilsson,Peter M. Jakab,Bill Sarantakos,Russell A. Stinehour",9780471345343,448,Wiley,1999,3,28
849,Divine Encounters: Stories from Spiritual Java,Bill Johnson,9780768486797,16,"Destiny Image, Inc.",2012,6,28
850,"Java and the Java Virtual Machine: Definition, Verification, Validation / Edition 1","Robert F. Stark,Joachim Schmid,Egon Borger",9783540420880,381,Springer Berlin Heidelberg,2001,6,27
851,Interdisciplinary Computing in Java Programming,Sun-Chong Wang,9781461350460,0,Springer US,2013,4,30
852,Thinking Recursively: With Examples in Java / Edition 1,Eric S. Roberts,9780471701460,188,Wiley,2005,2,11
853,Java Oracle Database Development,David Gallardo,9780130462183,420,Pearson Education,2002,12,30
854,Formal Syntax and Semantics of Java / Edition 1,Jim Alves-Foss,9783540661580,1999,Springer Berlin Heidelberg,1999,7,20
855,Introduction to Problem Solving Using Java / Edition 1,"Elliot B. Koffman,Ursula Woltz,Susan Hartmann,Diana Coe,Amy Willcutt",9780201357431,824,Addison-Wesley,1998,8,19
856,Advanced Java 2 Development for Enterprise Applications (Sun Microsystems Press Java Series),Clifford J. Berg,9780130848758,785,Sun Microsystems Press,2000,5,4
857,"Leadership on Java: Gentle Hints, Authoritarian Rule","Hans Antlov,Sven Cederoth Cederroth",9780700702954,0,Taylor & Francis,1995,1,28
858,Island of Java,John Joseph Stockdale,9781462902156,428,Tuttle Publishing,2011,12,20
859,CDI - Dependency Injection in Java EE 7: Dependency Injection in Java EE 7,Dirk Weil,9783868024937,0,entwickler.press,2013,11,20
860,"Brazil And Java: Report On Coffee-culture In America, Asia And Africa, To H.e. The Minister Of The Colonies",C. F. Van Delden La rne,9781344891646,680,Arkose Press,2015,10,19
861,Practical API Design: Confessions of a Java Framework Architect / Edition 1,Jaroslav Tulach,9781430243175,416,Apress,2012,6,5
862,Java XML Programming,"Nazmul Idris,Nazmul Adris",9781884777837,400,Manning Publications Company,1999,8,28
863,Java Nights,Karen Van der Zee,9780373113507,0,Harlequin,1991,2,28
864,Java: Eine Einf Hrung,Martin Schader,9783540657163,579,"Springer-Verlag New York, LLC",1999,4,28
865,Industrial Strength Java,"Luke Cassady-Dorian,L,Matthew Brumbaugh,Shirani Maheshwari,Jon Wright",9781562056346,1000,Macmillan Computer Publishing,1997,2,10
866,In Java und Hawaii: Single Songbook,C. U. Blecher,9783841892737,0,Harrison Musikverlag,1965,1,1
867,Introduction to Java Programming / Edition 7,Y. Daniel Liang,9780136012672,1328,Prentice Hall,2008,5,15
868,Data Structures and Algorithms in Java,"Michael T. Goodrich,Roberto Tamassia",9780471193081,760,Wiley,1998,1,28
869,"Java: A Beginner's Guide, 4th Ed.",Herbert Schildt,9780072263848,696,"McGraw-Hill Companies, The",2006,12,1
870,SCWCD Exam Study Kit Second Edition: Java Web Component Developer Certification,"Hanumant Deshmukh,Jignesh Malavia,Matthew Scarpino",9781932394382,531,"O'Reilly Media, Incorporated",2005,3,28
871,Java For Students - 1.2 IBD / Edition 2,"Douglas Bell,Mike Parr",9780130109224,586,Prentice Hall Professional Technical Reference,1998,8,24
872,Java: An Introduction to Computer Science and Programming JDK 1.2 Compatible Source Code / Edition 1,Walter Savitch,9780132874267,726,Prentice Hall Professional Technical Reference,1998,12,16
873,Jumping to Java: Fast Track for C and C++ Programmers,Dan Parks Sydow,9780764540073,564,"Wiley, John & Sons, Incorporated",1996,11,1
874,Java for Engineers and Scientists / Edition 1,Gary J. Bronson,9780534384531,560,Cengage Learning,2002,12,26
875,(WCS)Java Concepts 4th Edition with Codelab for University of Wisconsin Madison,Cay Horstmann,9780471736073,0,"Wiley, John & Sons, Incorporated",2005,1,28
876,"de Zieke Reiziger; Or, Rambles in Java and the Straits. in 1852",William Edwards,9781290614122,212,HardPress Publishing,2012,8,28
877,Cross-Platform Web Services Using C# and Java / Edition 1,"Brian Hochgurtel,Hochgurtel",9781584502623,386,Cengage Learning,2003,3,28
878,Java Handbook,Patrick Naughton,9780078821998,424,"McGraw-Hill Companies, The",1996,3,1
879,Java: The Garden of the East (Classic Reprint),Eliza Ruhamah Scidmore,9781330908884,356,FB &c Ltd,2015,7,7
880,"Trade and Travel in the Far East: Or Recollections of Twenty-One Years Passed in Java, Singapore, Australia, and China (1846)",G. F. Davidson,9781437354805,328,Kessinger Publishing Company,2008,12,1
881,Object-Oriented Programming and Java / Edition 2,"Danny Poo,Derek Kiong,Swarnalatha Ashok",9781846289620,322,Springer London,2007,10,28
882,Good Times and Bad Times in Rural Java: Case Study of Socio-Economic Dynamics in Two Villages towards the End of the Twentieth Century,J. Breman,9789067181877,342,"Brill Academic Publishers, Inc.",2002,1,1
883,"Java: The Simple Guide to Learn Java Programming In No Time (Programming,Database, Java for dummies, coding books, java programming)","David Hoffman,Java for dummies,Java programming",9781533419132,50,CreateSpace Publishing,2016,5,27
884,"Nonlinear Workbook, The: Chaos, Fractals, Cellular Automata, Genetic Algorithms, Gene Expression Programming, Support Vector Machine, Wavelets, Hidden Markov Models, Fuzzy Logic With C++, Java And Symbolicc++ Programs (6Th Edition) / Edition 6",Willi-hans Steeb,9789814583473,684,"World Scientific Publishing Company, Incorporated",2014,11,17
885,Far East POW Memories of Java,Phil Ganderton,9781447641261,0,Lulu.com,2011,9,26
886,Pro EJB 3: Java Persistence API,"Mike Keith,Michael Keith,Rod Johnson,Merrick Schincariol",9781590596456,480,Apress,2006,5,8
887,Java 9 Concurrency Cookbook - Second Edition,Javier Fernandez Gonzalez,9781787124417,529,Packt Publishing,2017,2,28
888,Beyond Java,Bruce A. Tate,9780596100940,208,"O'Reilly Media, Incorporated",2005,9,15
889,de Heerendiensten Op Java En Madura Volgens Het Regeerings Reglement Van 1854 (1891),Charles Ferdinand Schoch,9781166757106,292,Kessinger Publishing Company,2010,9,28
890,"Hands-on AI with Java : Smart Gaming, Robots, and More",Edwin Wise,9780071424967,340,McGraw-Hill Professional Publishing,2004,1,16
891,Java EE 7 Developer Handbook,Peter A. Pilgrim,9781849687959,0,Packt Publishing Pvt. Ltd.,2013,9,20
892,Java Persistence with Hibernate,"Christian Bauer,Gavin King",9781932394887,904,Manning Publications Company,2006,12,28
893,Winds of Fortune: The Java Gold - Book Two,Robert A Kingley,9781519565105,342,CreateSpace Publishing,2016,2,20
894,World War 2 Battle of the Java Sea,Ronald Ledwell Sr,2940044342088,0,"Ronald Ledwell, Sr",2013,2,25
895,Programming Concepts In Java,Robert Burns,9781503511514,228,Xlibris Corporation,2014,12,2
896,Java Concepts for AP Computer Science / Edition 5,Cay S. Horstmann,9780470181607,880,Wiley,2007,7,20
897,Java Foundations: Introduction to Program Design and Data Structures / Edition 2,"John Lewis (5),Peter DePasquale,Joseph Chase",9780132128810,912,Addison-Wesley,2010,3,16
898,Java Design Pattern Essentials,Tony Bevis,9780956575807,248,Ability First Limited,2010,6,18
899,Programming And Problem Solving With Java / Edition 2,"Nell Dale,Chip Weems",9780763734022,838,Jones & Bartlett Learning,2007,4,27
900,"Java Tools for Extreme Programming: Mastering Open Source Tools, including Ant, JUnit, and Cactus","Richard Hightower,Nicholas Lesiecki",9780471207085,544,Wiley,2001,11,1
901,The Object of Data Abstraction and Structures (using Java),David Riley,9780201713596,688,Addison Wesley,2002,10,3
902,Webobjects 5 For Java,Jesse Feiler,9780072130881,508,"McGraw-Hill Companies, The",2001,11,1
903,Java in a Nutshell: A Desktop Quick Reference,"David Flanagan,Paula Ferguson",9781565924871,666,"O'Reilly Media, Incorporated",1999,11,30
